====== H (50) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = .02441 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 17500.E-02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =007077.69
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
710000.E-06  3577.82E-04  2329.92E-05
141000.E-05  4263.88E-04  1913.34E-05
211000.E-05  4731.86E-04  2392.46E-05
281000.E-05  5303.61E-04  3390.13E-05
351000.E-05  5250.03E-04  3348.71E-05
421000.E-05  5349.84E-04  4156.46E-05
491000.E-05  5584.25E-04  4209.99E-05
561000.E-05  5326.90E-04  4317.06E-05
631000.E-05  5330.78E-04  4435.30E-05
701000.E-05  5317.01E-04  4591.39E-05
771000.E-05  4982.48E-04  4151.07E-05
841000.E-05  4843.63E-04  4571.56E-05
911000.E-05  4645.13E-04  4590.28E-05
981000.E-05  4438.94E-04  4269.73E-05
105100.E-04  4359.04E-04  3708.24E-05
112100.E-04  4103.01E-04  3627.87E-05
119100.E-04  3929.32E-04  3351.90E-05
126100.E-04  3509.39E-04  3399.53E-05
133100.E-04  3311.99E-04  2816.65E-05
140100.E-04  3079.90E-04  2683.88E-05
147100.E-04  2925.29E-04  3110.31E-05
154100.E-04  2647.53E-04  2197.91E-05
161100.E-04  2446.10E-04  2291.87E-05
168100.E-04  2288.76E-04  2199.95E-05
175100.E-04  2125.61E-04  1831.01E-05
182100.E-04  1981.51E-04  1646.11E-05
189100.E-04  1765.27E-04  1602.22E-05
196100.E-04  1585.97E-04  1293.31E-05
203100.E-04  1423.60E-04  1234.14E-05
210100.E-04  1283.98E-04  1139.40E-05
217100.E-04  1151.60E-04  1087.29E-05
224100.E-04  1031.65E-04  8940.19E-06
231100.E-04  9508.89E-05  7647.46E-06
238100.E-04  8384.80E-05  6795.77E-06
245100.E-04  7210.26E-05  5561.02E-06
252100.E-04  6574.49E-05  5140.60E-06
259100.E-04  5791.20E-05  4503.54E-06
266100.E-04  5087.37E-05  3443.21E-06
273100.E-04  4419.99E-05  3294.74E-06
280100.E-04  3872.71E-05  2230.58E-06
287100.E-04  3332.74E-05  2448.07E-06
294100.E-04  2728.68E-05  1731.83E-06
301100.E-04  2563.34E-05  2072.09E-06
308100.E-04  2084.94E-05  1751.20E-06
315100.E-04  1901.10E-05  9989.71E-07
322100.E-04  1639.82E-05  1536.31E-06
329100.E-04  1493.72E-05  4868.66E-07
336100.E-04  1375.16E-05  7064.25E-07
343100.E-04  1029.63E-05  6261.32E-07
350100.E-04  8617.47E-06  5054.87E-07
357100.E-04  7850.56E-06  2676.07E-07
364100.E-04  6233.93E-06  3683.36E-07
371100.E-04  5697.24E-06  1027.46E-07
378100.E-04  4716.48E-06  3424.47E-07
385100.E-04  4722.59E-06  2696.12E-07
392100.E-04  3390.93E-06  2949.00E-07
399100.E-04  2771.90E-06  2861.21E-07
406100.E-04  2198.27E-06  2033.17E-07
413100.E-04  2035.21E-06  1202.44E-07
420100.E-04  1603.27E-06  3198.78E-07
427100.E-04  1272.41E-06  2041.85E-07
434100.E-04  8904.70E-07  2308.03E-08
441100.E-04  4879.13E-07  4596.52E-08
448100.E-04  3291.80E-07  9523.88E-09
455100.E-04  5342.59E-07  3331.28E-08
462100.E-04  3933.57E-07  3158.38E-08
469100.E-04  3526.16E-07  4134.40E-08
476100.E-04  2740.29E-07  0000.00E+00
483100.E-04  2153.13E-07  0000.00E+00
490100.E-04  2698.04E-07  0000.00E+00
497100.E-04  1849.32E-07  0000.00E+00
504100.E-04  1406.99E-07  0000.00E+00
511100.E-04  7401.46E-08  0000.00E+00
518100.E-04  1658.93E-07  0000.00E+00
525100.E-04  4235.16E-08  0000.00E+00
532100.E-04  0000.00E+00  0000.00E+00
539100.E-04  0000.00E+00  0000.00E+00
546100.E-04  0000.00E+00  0000.00E+00
553100.E-04  0000.00E+00  0000.00E+00
560100.E-04  0000.00E+00  0000.00E+00
567100.E-04  0000.00E+00  0000.00E+00
574100.E-04  0000.00E+00  0000.00E+00
581100.E-04  0000.00E+00  0000.00E+00
588100.E-04  0000.00E+00  0000.00E+00
595100.E-04  0000.00E+00  0000.00E+00
602100.E-04  0000.00E+00  0000.00E+00
609100.E-04  0000.00E+00  0000.00E+00
616100.E-04  0000.00E+00  0000.00E+00
623100.E-04  0000.00E+00  0000.00E+00
630100.E-04  0000.00E+00  0000.00E+00
637100.E-04  0000.00E+00  0000.00E+00
644100.E-04  0000.00E+00  0000.00E+00
651100.E-04  0000.00E+00  0000.00E+00
658100.E-04  0000.00E+00  0000.00E+00
665100.E-04  0000.00E+00  0000.00E+00
672100.E-04  0000.00E+00  0000.00E+00
679100.E-04  0000.00E+00  0000.00E+00
686100.E-04  0000.00E+00  0000.00E+00
693100.E-04  0000.00E+00  0000.00E+00
700100.E-04  0000.00E+00  0000.00E+00
