====== H (E0) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 25600 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+07 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =000300.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
700000.E+00  2805.73E-04  8991.99E-09
140000.E+01  2858.91E-04  5381.35E-09
210000.E+01  2867.61E-04  1030.81E-08
280000.E+01  2832.43E-04  7522.86E-09
350000.E+01  2910.57E-04  2160.68E-08
420000.E+01  2916.79E-04  5899.53E-09
490000.E+01  2893.87E-04  2460.17E-08
560000.E+01  2932.25E-04  8805.74E-09
630000.E+01  2999.31E-04  7972.85E-09
700000.E+01  2984.35E-04  3133.68E-08
770000.E+01  3013.70E-04  6707.96E-09
840000.E+01  2996.46E-04  4427.28E-08
910000.E+01  3062.73E-04  8751.98E-09
980000.E+01  3062.21E-04  1378.91E-08
105000.E+02  3078.86E-04  1308.53E-08
112000.E+02  3139.44E-04  8167.76E-08
119000.E+02  3133.43E-04  9602.48E-09
126000.E+02  3178.53E-04  8617.79E-09
133000.E+02  3176.69E-04  9717.89E-09
140000.E+02  3223.27E-04  2627.71E-08
147000.E+02  3239.20E-04  2103.77E-08
154000.E+02  3302.39E-04  1031.84E-08
161000.E+02  3327.96E-04  6361.56E-09
168000.E+02  3347.71E-04  9396.73E-09
175000.E+02  3427.19E-04  6714.63E-09
182000.E+02  3416.44E-04  4417.43E-09
189000.E+02  3463.14E-04  8977.35E-09
196000.E+02  3484.93E-04  5026.65E-09
203000.E+02  3489.27E-04  1722.07E-08
210000.E+02  3541.76E-04  3842.78E-07
217000.E+02  3580.56E-04  6194.62E-08
224000.E+02  3644.96E-04  2187.09E-08
231000.E+02  3659.28E-04  1191.99E-08
238000.E+02  3696.51E-04  3528.25E-08
245000.E+02  3739.69E-04  9638.72E-09
252000.E+02  3795.48E-04  1298.79E-08
259000.E+02  3837.79E-04  1309.51E-08
266000.E+02  3912.16E-04  1228.44E-08
273000.E+02  3964.16E-04  1113.26E-08
280000.E+02  3990.60E-04  1203.61E-08
287000.E+02  4028.77E-04  1345.20E-08
294000.E+02  4082.87E-04  1809.03E-08
301000.E+02  4194.35E-04  9785.26E-09
308000.E+02  4249.39E-04  1626.67E-08
315000.E+02  4328.87E-04  1464.39E-08
322000.E+02  4409.08E-04  1822.58E-08
329000.E+02  4479.15E-04  2988.90E-08
336000.E+02  4552.61E-04  9487.70E-09
343000.E+02  4670.91E-04  2508.10E-08
350000.E+02  4728.73E-04  3646.22E-08
357000.E+02  4782.78E-04  4303.53E-08
364000.E+02  4917.19E-04  1732.80E-08
371000.E+02  5016.95E-04  1546.99E-08
378000.E+02  5161.41E-04  1962.73E-08
385000.E+02  5271.31E-04  2689.34E-08
392000.E+02  5402.51E-04  2207.90E-08
399000.E+02  5581.96E-04  2082.36E-08
406000.E+02  5743.52E-04  4722.43E-08
413000.E+02  5931.30E-04  3438.36E-08
420000.E+02  6144.86E-04  7424.90E-07
427000.E+02  6408.88E-04  8407.86E-08
434000.E+02  6659.92E-04  1560.17E-07
441000.E+02  6907.87E-04  6978.61E-07
448000.E+02  7304.09E-04  2382.43E-08
455000.E+02  7678.56E-04  2996.02E-08
462000.E+02  8223.90E-04  4301.10E-08
469000.E+02  8819.42E-04  4972.83E-08
476000.E+02  9626.19E-04  4551.43E-08
483000.E+02  1075.76E-03  4823.38E-08
490000.E+02  1266.26E-03  7660.39E-08
497000.E+02  1592.44E-03  3050.83E-07
504000.E+02  1919.51E-03  4194.23E-07
511000.E+02  1353.06E-03  4612.82E-07
518000.E+02  2159.82E-04  5219.62E-08
525000.E+02  1242.73E-05  2619.81E-09
532000.E+02  0000.00E+00  0000.00E+00
539000.E+02  0000.00E+00  0000.00E+00
546000.E+02  0000.00E+00  0000.00E+00
553000.E+02  0000.00E+00  0000.00E+00
560000.E+02  0000.00E+00  0000.00E+00
567000.E+02  0000.00E+00  0000.00E+00
574000.E+02  0000.00E+00  0000.00E+00
581000.E+02  0000.00E+00  0000.00E+00
588000.E+02  0000.00E+00  0000.00E+00
595000.E+02  0000.00E+00  0000.00E+00
602000.E+02  0000.00E+00  0000.00E+00
609000.E+02  0000.00E+00  0000.00E+00
616000.E+02  0000.00E+00  0000.00E+00
623000.E+02  0000.00E+00  0000.00E+00
630000.E+02  0000.00E+00  0000.00E+00
637000.E+02  0000.00E+00  0000.00E+00
644000.E+02  0000.00E+00  0000.00E+00
651000.E+02  0000.00E+00  0000.00E+00
658000.E+02  0000.00E+00  0000.00E+00
665000.E+02  0000.00E+00  0000.00E+00
672000.E+02  0000.00E+00  0000.00E+00
679000.E+02  0000.00E+00  0000.00E+00
686000.E+02  0000.00E+00  0000.00E+00
693000.E+02  0000.00E+00  0000.00E+00
700000.E+02  0000.00E+00  0000.00E+00
