====== H (50) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 1.5625 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 10000.E-01 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =011151.15
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100100.E-04  2663.84E-03  5516.85E-05
200100.E-04  2671.61E-03  5724.31E-05
300100.E-04  2736.51E-03  5766.57E-05
400100.E-04  2744.94E-03  5771.56E-05
500100.E-04  2738.57E-03  6038.22E-05
600100.E-04  2740.10E-03  6776.49E-05
700100.E-04  2752.34E-03  6880.95E-05
800100.E-04  2806.42E-03  7215.11E-05
900100.E-04  2828.65E-03  7269.77E-05
100010.E-03  2836.52E-03  7119.33E-05
110010.E-03  2844.28E-03  7598.13E-05
120010.E-03  2880.81E-03  7949.43E-05
130010.E-03  2901.25E-03  7547.65E-05
140010.E-03  2873.86E-03  8309.77E-05
150010.E-03  2879.74E-03  8319.72E-05
160010.E-03  2843.88E-03  7987.85E-05
170010.E-03  2829.06E-03  8815.50E-05
180010.E-03  2836.27E-03  9212.44E-05
190010.E-03  2866.65E-03  9901.83E-05
200010.E-03  2843.83E-03  9311.90E-05
210010.E-03  2801.61E-03  9569.09E-05
220010.E-03  2737.48E-03  9606.50E-05
230010.E-03  2704.46E-03  9735.99E-05
240010.E-03  2693.31E-03  9958.04E-05
250010.E-03  2639.18E-03  1015.66E-04
260010.E-03  2623.21E-03  1004.24E-04
270010.E-03  2570.30E-03  1022.41E-04
280010.E-03  2506.81E-03  9945.85E-05
290010.E-03  2473.21E-03  1003.64E-04
300010.E-03  2367.62E-03  1074.39E-04
310010.E-03  2328.54E-03  1115.01E-04
320010.E-03  2309.36E-03  1107.25E-04
330010.E-03  2200.59E-03  1084.04E-04
340010.E-03  2145.94E-03  1039.24E-04
350010.E-03  2084.41E-03  9937.01E-05
360010.E-03  1986.21E-03  1029.71E-04
370010.E-03  1911.46E-03  9742.90E-05
380010.E-03  1819.45E-03  9892.93E-05
390010.E-03  1745.79E-03  9801.42E-05
400010.E-03  1659.66E-03  9359.43E-05
410010.E-03  1579.11E-03  9118.55E-05
420010.E-03  1482.14E-03  8832.02E-05
430010.E-03  1396.79E-03  8744.59E-05
440010.E-03  1279.69E-03  7909.60E-05
450010.E-03  1249.65E-03  7505.43E-05
460010.E-03  1173.91E-03  7149.40E-05
470010.E-03  1070.12E-03  6441.40E-05
480010.E-03  1006.59E-03  6076.66E-05
490010.E-03  9287.19E-04  5771.74E-05
500010.E-03  8656.44E-04  5571.10E-05
510010.E-03  7923.39E-04  5305.17E-05
520010.E-03  7287.97E-04  5064.54E-05
530010.E-03  6568.70E-04  4475.17E-05
540010.E-03  5962.90E-04  4178.57E-05
550010.E-03  5409.00E-04  3875.40E-05
560010.E-03  4831.96E-04  3498.57E-05
570010.E-03  4388.11E-04  3340.38E-05
580010.E-03  3903.85E-04  3129.89E-05
590010.E-03  3489.74E-04  2454.16E-05
600010.E-03  3002.48E-04  2212.76E-05
610010.E-03  2497.65E-04  1917.56E-05
620010.E-03  2247.95E-04  1601.92E-05
630010.E-03  1958.18E-04  1558.59E-05
640010.E-03  1580.68E-04  1398.50E-05
650010.E-03  1326.94E-04  1076.71E-05
660010.E-03  1074.47E-04  7991.31E-06
670010.E-03  8999.49E-05  5644.56E-06
680010.E-03  7039.39E-05  4859.47E-06
690010.E-03  5530.05E-05  3855.97E-06
700010.E-03  5054.54E-05  4367.66E-06
710010.E-03  4203.60E-05  3257.68E-06
720010.E-03  3106.03E-05  3590.43E-06
730010.E-03  2391.12E-05  2369.47E-06
740010.E-03  1896.70E-05  1700.98E-06
750010.E-03  1416.64E-05  1355.42E-06
760010.E-03  1014.31E-05  7729.11E-07
770010.E-03  8634.41E-06  6489.56E-07
780010.E-03  5276.24E-06  2113.02E-07
790010.E-03  4282.82E-06  1617.05E-07
800010.E-03  3053.81E-06  7856.60E-08
810010.E-03  1742.87E-06  1023.64E-07
820010.E-03  9451.04E-07  5622.21E-08
830010.E-03  8528.81E-07  2725.94E-08
840010.E-03  6635.26E-07  2562.73E-08
850010.E-03  3531.58E-07  1160.97E-08
860010.E-03  1617.99E-07  1012.66E-08
870010.E-03  7319.36E-09  5066.75E-10
880010.E-03  0000.00E+00  0000.00E+00
890010.E-03  0000.00E+00  0000.00E+00
900010.E-03  0000.00E+00  0000.00E+00
910010.E-03  0000.00E+00  0000.00E+00
920010.E-03  0000.00E+00  0000.00E+00
930010.E-03  0000.00E+00  0000.00E+00
940010.E-03  0000.00E+00  0000.00E+00
950010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
970010.E-03  0000.00E+00  0000.00E+00
980010.E-03  0000.00E+00  0000.00E+00
990010.E-03  0000.00E+00  0000.00E+00
100001.E-02  0000.00E+00  0000.00E+00
