====== H (50) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 25 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 60000.E-01 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =001689.98
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
600100.E-04  8641.39E-03  6151.66E-07
120010.E-03  8639.33E-03  3693.14E-07
180010.E-03  8626.81E-03  5884.72E-07
240010.E-03  8652.87E-03  2748.22E-06
300010.E-03  8633.60E-03  3469.95E-06
360010.E-03  8614.69E-03  2658.98E-06
420010.E-03  8625.24E-03  2979.24E-06
480010.E-03  8577.81E-03  7076.43E-07
540010.E-03  8583.22E-03  8284.02E-06
600010.E-03  8566.71E-03  8628.63E-06
660010.E-03  8540.18E-03  1170.90E-05
720010.E-03  8469.96E-03  1671.43E-05
780010.E-03  8418.04E-03  2054.78E-05
840010.E-03  8331.51E-03  1810.38E-05
900010.E-03  8234.70E-03  1896.78E-05
960010.E-03  8098.09E-03  2174.62E-05
102001.E-02  7994.86E-03  1251.16E-05
108001.E-02  7845.44E-03  1319.18E-05
114001.E-02  7684.53E-03  2180.61E-05
120001.E-02  7607.45E-03  1761.36E-05
126001.E-02  7519.57E-03  1842.68E-05
132001.E-02  7476.06E-03  7957.24E-06
138001.E-02  7405.34E-03  1065.93E-05
144001.E-02  7321.45E-03  1411.16E-05
150001.E-02  7231.76E-03  1854.49E-05
156001.E-02  7158.36E-03  2017.57E-05
162001.E-02  7076.53E-03  2498.62E-05
168001.E-02  6939.32E-03  1558.31E-05
174001.E-02  6784.87E-03  1242.37E-05
180001.E-02  6680.69E-03  2136.87E-05
186001.E-02  6575.42E-03  4099.87E-05
192001.E-02  6448.33E-03  1419.72E-05
198001.E-02  6380.37E-03  2069.44E-05
204001.E-02  6277.98E-03  2007.55E-05
210001.E-02  6280.29E-03  3105.55E-05
216001.E-02  6197.23E-03  2805.17E-05
222001.E-02  6042.28E-03  1927.13E-05
228001.E-02  5925.38E-03  2419.14E-05
234001.E-02  5852.05E-03  2969.59E-05
240001.E-02  5648.89E-03  2071.82E-05
246001.E-02  5616.46E-03  3558.94E-05
252001.E-02  5509.32E-03  4610.75E-05
258001.E-02  5384.42E-03  6003.86E-05
264001.E-02  5236.94E-03  3284.34E-05
270001.E-02  5181.53E-03  4513.91E-05
276001.E-02  5106.43E-03  3694.97E-05
282001.E-02  4985.27E-03  4040.30E-05
288001.E-02  4879.31E-03  5331.48E-05
294001.E-02  4676.35E-03  6893.73E-05
300001.E-02  4574.33E-03  4906.06E-05
306001.E-02  4577.23E-03  6468.87E-05
312001.E-02  4321.39E-03  5459.79E-05
318001.E-02  4183.18E-03  4969.36E-05
324001.E-02  3949.60E-03  5512.75E-05
330001.E-02  3855.45E-03  5086.05E-05
336001.E-02  3637.87E-03  5334.68E-05
342001.E-02  3442.63E-03  5949.73E-05
348001.E-02  3193.85E-03  5232.36E-05
354001.E-02  2979.65E-03  6563.41E-05
360001.E-02  2738.63E-03  6529.86E-05
366001.E-02  2612.58E-03  5591.20E-05
372001.E-02  2390.24E-03  6074.68E-05
378001.E-02  2027.20E-03  5186.00E-05
384001.E-02  1711.11E-03  4356.59E-05
390001.E-02  1464.20E-03  4230.80E-05
396001.E-02  1248.11E-03  4095.52E-05
402001.E-02  1099.59E-03  3612.45E-05
408001.E-02  9869.91E-04  2784.78E-05
414001.E-02  8828.85E-04  3130.13E-05
420001.E-02  6549.19E-04  2441.41E-05
426001.E-02  5127.68E-04  1567.27E-05
432001.E-02  3792.77E-04  1971.70E-05
438001.E-02  3266.55E-04  1453.32E-05
444001.E-02  2466.24E-04  8741.51E-06
450001.E-02  1802.08E-04  7279.16E-06
456001.E-02  1230.58E-04  4993.94E-06
462001.E-02  1005.27E-04  5372.59E-06
468001.E-02  8003.77E-05  2947.64E-06
474001.E-02  7200.18E-05  3256.22E-06
480001.E-02  4550.11E-05  2628.82E-06
486001.E-02  2362.30E-05  7493.58E-07
492001.E-02  1999.83E-05  9061.80E-07
498001.E-02  1319.31E-05  5462.65E-07
504001.E-02  4801.71E-06  2766.64E-07
510001.E-02  2930.61E-06  1920.66E-07
516001.E-02  1860.87E-06  2185.97E-07
522001.E-02  5586.52E-07  5001.72E-08
528001.E-02  0000.00E+00  0000.00E+00
534001.E-02  0000.00E+00  0000.00E+00
540001.E-02  0000.00E+00  0000.00E+00
546001.E-02  0000.00E+00  0000.00E+00
552001.E-02  0000.00E+00  0000.00E+00
558001.E-02  0000.00E+00  0000.00E+00
564001.E-02  0000.00E+00  0000.00E+00
570001.E-02  0000.00E+00  0000.00E+00
576001.E-02  0000.00E+00  0000.00E+00
582001.E-02  0000.00E+00  0000.00E+00
588001.E-02  0000.00E+00  0000.00E+00
594001.E-02  0000.00E+00  0000.00E+00
600001.E-02  0000.00E+00  0000.00E+00
