====== H (50) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 50 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =005492.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100010.E-03  1057.62E-02  9472.24E-08
200010.E-03  1056.15E-02  7335.03E-08
300010.E-03  1054.89E-02  3226.90E-07
400010.E-03  1053.56E-02  1385.91E-06
500010.E-03  1051.99E-02  8459.06E-07
600010.E-03  1050.50E-02  2612.30E-06
700010.E-03  1049.37E-02  1120.62E-06
800010.E-03  1046.47E-02  3174.36E-06
900010.E-03  1043.27E-02  2122.99E-06
100001.E-02  1040.75E-02  5078.36E-06
110001.E-02  1036.61E-02  4631.09E-06
120001.E-02  1032.90E-02  1093.59E-05
130001.E-02  1027.66E-02  7075.31E-06
140001.E-02  1019.94E-02  5074.36E-06
150001.E-02  1014.05E-02  8618.12E-06
160001.E-02  1007.14E-02  1001.72E-05
170001.E-02  1000.15E-02  1414.36E-05
180001.E-02  9904.94E-03  1277.01E-05
190001.E-02  9754.89E-03  1268.40E-05
200001.E-02  9670.00E-03  1009.33E-05
210001.E-02  9606.60E-03  9295.04E-06
220001.E-02  9542.65E-03  1611.56E-05
230001.E-02  9524.56E-03  1293.48E-05
240001.E-02  9354.96E-03  1947.00E-05
250001.E-02  9239.12E-03  2002.68E-05
260001.E-02  9138.63E-03  1749.38E-05
270001.E-02  9008.23E-03  1631.47E-05
280001.E-02  8889.22E-03  1341.03E-05
290001.E-02  8792.02E-03  1189.66E-05
300001.E-02  8670.43E-03  1235.22E-05
310001.E-02  8556.44E-03  1173.27E-05
320001.E-02  8410.41E-03  2001.12E-05
330001.E-02  8293.24E-03  1384.88E-05
340001.E-02  8155.05E-03  1489.66E-05
350001.E-02  8002.15E-03  2121.13E-05
360001.E-02  7855.05E-03  1894.73E-05
370001.E-02  7705.57E-03  1722.21E-05
380001.E-02  7554.57E-03  1577.39E-05
390001.E-02  7376.37E-03  1633.21E-05
400001.E-02  7215.70E-03  1838.07E-05
410001.E-02  7075.49E-03  2410.26E-05
420001.E-02  6908.96E-03  2191.11E-05
430001.E-02  6743.41E-03  2769.51E-05
440001.E-02  6607.95E-03  2998.73E-05
450001.E-02  6423.08E-03  2300.47E-05
460001.E-02  6196.02E-03  2435.59E-05
470001.E-02  6014.02E-03  2429.97E-05
480001.E-02  5864.04E-03  3060.50E-05
490001.E-02  5650.47E-03  3473.27E-05
500001.E-02  5464.33E-03  3131.36E-05
510001.E-02  5334.65E-03  3727.24E-05
520001.E-02  5116.05E-03  4353.43E-05
530001.E-02  4854.67E-03  4496.58E-05
540001.E-02  4600.36E-03  4471.78E-05
550001.E-02  4364.34E-03  4952.31E-05
560001.E-02  4119.94E-03  5718.40E-05
570001.E-02  3817.78E-03  5558.71E-05
580001.E-02  3538.07E-03  6464.21E-05
590001.E-02  3242.38E-03  6024.65E-05
600001.E-02  2886.98E-03  6130.56E-05
610001.E-02  2519.01E-03  6139.10E-05
620001.E-02  2174.40E-03  6044.45E-05
630001.E-02  1737.90E-03  5221.59E-05
640001.E-02  1380.50E-03  4170.91E-05
650001.E-02  1050.02E-03  3537.78E-05
660001.E-02  7735.76E-04  2953.40E-05
670001.E-02  5330.41E-04  1870.74E-05
680001.E-02  3793.32E-04  1289.55E-05
690001.E-02  2776.86E-04  1103.20E-05
700001.E-02  1715.13E-04  7783.74E-06
710001.E-02  1100.84E-04  4521.91E-06
720001.E-02  6453.12E-05  3816.25E-06
730001.E-02  4260.29E-05  1897.33E-06
740001.E-02  2657.07E-05  1282.14E-06
750001.E-02  1426.19E-05  6000.29E-07
760001.E-02  6245.63E-06  2198.46E-07
770001.E-02  1986.25E-06  8486.16E-08
780001.E-02  2726.28E-06  3558.59E-08
790001.E-02  8112.28E-07  8776.85E-08
800001.E-02  8803.71E-08  3117.27E-08
810001.E-02  0000.00E+00  0000.00E+00
820001.E-02  0000.00E+00  0000.00E+00
830001.E-02  0000.00E+00  0000.00E+00
840001.E-02  0000.00E+00  0000.00E+00
850001.E-02  0000.00E+00  0000.00E+00
860001.E-02  0000.00E+00  0000.00E+00
870001.E-02  0000.00E+00  0000.00E+00
880001.E-02  0000.00E+00  0000.00E+00
890001.E-02  0000.00E+00  0000.00E+00
900001.E-02  0000.00E+00  0000.00E+00
910001.E-02  0000.00E+00  0000.00E+00
920001.E-02  0000.00E+00  0000.00E+00
930001.E-02  0000.00E+00  0000.00E+00
940001.E-02  0000.00E+00  0000.00E+00
950001.E-02  0000.00E+00  0000.00E+00
960001.E-02  0000.00E+00  0000.00E+00
970001.E-02  0000.00E+00  0000.00E+00
980001.E-02  0000.00E+00  0000.00E+00
990001.E-02  0000.00E+00  0000.00E+00
100000.E-01  0000.00E+00  0000.00E+00
