====== H (E0) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 190000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =040671.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  6084.01E-05  6911.96E-12
300000.E-01  6081.24E-05  2411.65E-11
450000.E-01  6075.28E-05  1927.01E-11
600000.E-01  6077.13E-05  1152.03E-10
750000.E-01  6084.26E-05  2235.14E-10
900000.E-01  6081.07E-05  9275.12E-11
105000.E+00  6080.79E-05  7536.84E-10
120000.E+00  6078.81E-05  1205.26E-10
135000.E+00  6080.98E-05  1911.59E-10
150000.E+00  6074.33E-05  1426.91E-10
165000.E+00  6076.59E-05  1449.97E-10
180000.E+00  6076.28E-05  5499.03E-10
195000.E+00  6074.91E-05  1962.17E-10
210000.E+00  6071.55E-05  1073.97E-09
225000.E+00  6070.28E-05  1514.86E-09
240000.E+00  6071.07E-05  3163.13E-10
255000.E+00  6066.51E-05  1329.75E-10
270000.E+00  6060.34E-05  9994.26E-10
285000.E+00  6059.96E-05  3953.23E-10
300000.E+00  6059.28E-05  3651.02E-10
315000.E+00  6064.60E-05  9759.29E-10
330000.E+00  6064.96E-05  5159.69E-09
345000.E+00  6062.84E-05  6798.50E-09
360000.E+00  6060.58E-05  4640.54E-09
375000.E+00  6067.58E-05  4187.73E-10
390000.E+00  6067.61E-05  3866.41E-10
405000.E+00  6067.73E-05  1338.30E-09
420000.E+00  6063.07E-05  7835.78E-10
435000.E+00  6066.56E-05  5515.75E-10
450000.E+00  6061.25E-05  3061.60E-10
465000.E+00  6060.23E-05  5928.98E-10
480000.E+00  6067.50E-05  8453.41E-10
495000.E+00  6070.69E-05  3229.68E-10
510000.E+00  6066.26E-05  4687.95E-10
525000.E+00  6066.22E-05  8909.12E-10
540000.E+00  6068.91E-05  6835.61E-10
555000.E+00  6077.11E-05  7326.01E-08
570000.E+00  6084.53E-05  1152.63E-09
585000.E+00  6087.48E-05  1773.99E-10
600000.E+00  6082.38E-05  1260.83E-09
615000.E+00  6082.84E-05  6001.47E-10
630000.E+00  6081.23E-05  1134.32E-09
645000.E+00  6078.71E-05  7734.43E-10
660000.E+00  6071.78E-05  6304.90E-10
675000.E+00  6069.46E-05  5163.03E-10
690000.E+00  6082.36E-05  1025.00E-09
705000.E+00  6085.93E-05  6830.85E-10
720000.E+00  6078.43E-05  2119.74E-09
735000.E+00  6068.86E-05  9229.15E-10
750000.E+00  6077.01E-05  6875.95E-10
765000.E+00  6082.09E-05  1420.53E-09
780000.E+00  6079.00E-05  3261.76E-09
795000.E+00  6067.37E-05  6405.57E-10
810000.E+00  6053.89E-05  1293.83E-09
825000.E+00  6063.35E-05  7354.57E-10
840000.E+00  6061.14E-05  7389.20E-10
855000.E+00  6061.47E-05  5454.58E-10
870000.E+00  6068.17E-05  4163.50E-09
885000.E+00  6078.83E-05  2063.67E-09
900000.E+00  6075.95E-05  4862.66E-10
915000.E+00  6068.76E-05  3801.45E-09
930000.E+00  6081.95E-05  2213.53E-09
945000.E+00  6096.39E-05  1154.34E-09
960000.E+00  6097.12E-05  3029.11E-09
975000.E+00  6097.64E-05  9340.49E-10
990000.E+00  6086.48E-05  2353.17E-09
100500.E+01  6076.04E-05  1665.48E-09
102000.E+01  6070.91E-05  3210.05E-09
103500.E+01  6071.67E-05  3565.44E-09
105000.E+01  6079.08E-05  1076.93E-09
106500.E+01  6092.52E-05  2577.05E-09
108000.E+01  6088.68E-05  4858.72E-09
109500.E+01  6099.37E-05  3672.01E-09
111000.E+01  6089.63E-05  1047.97E-09
112500.E+01  6093.24E-05  9055.56E-10
114000.E+01  6091.98E-05  8683.10E-10
115500.E+01  6077.58E-05  1051.11E-09
117000.E+01  6083.51E-05  1202.63E-09
118500.E+01  6074.12E-05  3333.28E-09
120000.E+01  6070.20E-05  1017.66E-08
121500.E+01  6083.59E-05  4043.67E-09
123000.E+01  6060.79E-05  4109.72E-07
124500.E+01  6061.55E-05  1750.86E-09
126000.E+01  6064.96E-05  1671.52E-09
127500.E+01  6068.41E-05  6090.27E-10
129000.E+01  6056.77E-05  5506.50E-09
130500.E+01  6057.35E-05  6130.15E-09
132000.E+01  6074.52E-05  4877.58E-08
133500.E+01  6098.94E-05  3247.29E-09
135000.E+01  6085.53E-05  1329.25E-09
136500.E+01  6091.85E-05  8750.22E-09
138000.E+01  6096.35E-05  7552.07E-09
139500.E+01  6115.05E-05  1262.50E-09
141000.E+01  6097.41E-05  1885.02E-09
142500.E+01  6117.05E-05  6294.78E-10
144000.E+01  6127.05E-05  2768.66E-09
145500.E+01  6116.70E-05  1388.18E-09
147000.E+01  6098.85E-05  1028.37E-09
148500.E+01  6065.86E-05  6712.34E-09
150000.E+01  6060.33E-05  2709.60E-08
