====== H (E0) into Kapton                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 5960 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =007485.74
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  1861.11E-02  1739.10E-06
300000.E-01  1983.89E-02  2998.38E-06
450000.E-01  2177.40E-02  4831.84E-06
600000.E-01  2359.82E-02  3890.75E-06
750000.E-01  2528.16E-02  2851.24E-06
900000.E-01  2708.91E-02  8222.96E-06
105000.E+00  2866.70E-02  5277.83E-06
120000.E+00  2993.39E-02  4607.29E-06
135000.E+00  2935.19E-02  8034.99E-06
150000.E+00  2802.46E-02  5667.31E-06
165000.E+00  2628.11E-02  4267.63E-06
180000.E+00  2311.25E-02  7127.70E-06
195000.E+00  2066.15E-02  8377.77E-06
210000.E+00  1739.41E-02  4127.63E-06
225000.E+00  1448.10E-02  4343.69E-06
240000.E+00  1092.39E-02  4053.40E-06
255000.E+00  8191.25E-03  2292.76E-06
270000.E+00  5806.34E-03  1658.31E-06
285000.E+00  4416.33E-03  1405.28E-06
300000.E+00  2895.12E-03  1795.55E-06
315000.E+00  2042.03E-03  7508.77E-07
330000.E+00  1448.59E-03  3079.05E-07
345000.E+00  1034.84E-03  3584.61E-07
360000.E+00  7782.32E-04  3144.16E-07
375000.E+00  5482.98E-04  5062.41E-07
390000.E+00  4020.96E-04  1292.07E-07
405000.E+00  2798.61E-04  4566.55E-08
420000.E+00  2307.72E-04  4731.56E-08
435000.E+00  1863.89E-04  4119.31E-08
450000.E+00  1237.87E-04  3345.05E-08
465000.E+00  8326.97E-05  3117.23E-08
480000.E+00  7025.02E-05  8662.62E-09
495000.E+00  6893.44E-05  1325.86E-08
510000.E+00  5783.33E-05  2185.68E-09
525000.E+00  6836.40E-05  3291.19E-09
540000.E+00  6385.51E-05  1480.98E-08
555000.E+00  4925.74E-05  6221.61E-09
570000.E+00  4264.17E-05  8208.50E-09
585000.E+00  3993.33E-05  5395.71E-08
600000.E+00  3810.44E-05  1453.42E-08
615000.E+00  3050.79E-05  2384.96E-09
630000.E+00  2538.91E-05  2692.02E-09
645000.E+00  2465.28E-05  1855.28E-09
660000.E+00  2723.92E-05  6014.60E-09
675000.E+00  2306.17E-05  2747.80E-09
690000.E+00  1948.25E-05  5527.50E-09
705000.E+00  1524.40E-05  1910.36E-09
720000.E+00  1176.95E-05  1574.60E-10
735000.E+00  1225.09E-05  2133.32E-09
750000.E+00  1100.90E-05  3028.07E-10
765000.E+00  1374.99E-05  2995.71E-09
780000.E+00  8357.58E-06  1006.80E-09
795000.E+00  6993.96E-06  1686.41E-11
810000.E+00  7891.74E-06  3986.93E-10
825000.E+00  1069.02E-05  1329.95E-09
840000.E+00  6666.00E-06  1906.79E-09
855000.E+00  4159.49E-06  1074.81E-11
870000.E+00  4245.97E-06  3786.77E-11
885000.E+00  4821.35E-06  2286.74E-11
900000.E+00  5500.94E-06  4281.76E-11
915000.E+00  5653.04E-06  2698.79E-10
930000.E+00  4595.70E-06  8198.14E-10
945000.E+00  5996.77E-06  2325.49E-09
960000.E+00  1972.73E-06  1198.56E-09
975000.E+00  1076.50E-06  1015.01E-12
990000.E+00  1092.13E-06  3714.45E-12
100500.E+01  1217.50E-06  3858.88E-12
102000.E+01  1000.07E-06  3602.93E-12
103500.E+01  1211.50E-06  9727.19E-13
105000.E+01  1158.61E-06  3530.76E-12
106500.E+01  1233.21E-06  3074.03E-12
108000.E+01  1224.12E-06  3277.17E-12
109500.E+01  1302.14E-06  4870.53E-12
111000.E+01  1295.93E-06  2071.86E-12
112500.E+01  1340.33E-06  3540.78E-12
114000.E+01  1294.62E-06  2696.54E-12
115500.E+01  1354.74E-06  1212.68E-12
117000.E+01  1494.31E-06  6527.84E-12
118500.E+01  1588.89E-06  3054.75E-11
120000.E+01  1820.38E-06  1043.10E-09
121500.E+01  2131.56E-06  6775.86E-12
123000.E+01  2614.46E-06  4628.43E-10
124500.E+01  3151.05E-06  1261.66E-09
126000.E+01  4386.32E-07  1198.06E-12
127500.E+01  4566.15E-07  1221.16E-12
129000.E+01  5140.21E-07  5664.50E-13
130500.E+01  4515.40E-07  3207.09E-12
132000.E+01  5277.83E-07  7382.12E-13
133500.E+01  5794.33E-07  1872.52E-12
135000.E+01  5972.11E-07  7028.48E-13
136500.E+01  6348.46E-07  1623.63E-12
138000.E+01  6165.42E-07  2195.67E-12
139500.E+01  6220.78E-07  2052.76E-12
141000.E+01  6785.81E-07  2457.54E-12
142500.E+01  6754.99E-07  2214.91E-13
144000.E+01  6726.04E-07  0000.00E+00
145500.E+01  6730.51E-07  1834.27E-12
147000.E+01  7388.68E-07  2384.39E-12
148500.E+01  8417.34E-07  8027.75E-11
150000.E+01  9514.66E-07  5804.24E-12
