Energy (MeV)	Integral Fluence (#/cm^2)	Differential Fluence (#/cm^2/MeV)
1.000E-01	1.116E+12	7.649E+12
2.500E-01	5.959E+11	1.633E+12
5.000E-01	3.706E+11	5.078E+11
1.000E+00	2.305E+11	1.579E+11
2.000E+00	1.433E+11	5.101E+10
3.500E+00	9.483E+10	2.190E+10
5.000E+00	6.933E+10	1.308E+10
7.100E+00	4.869E+10	7.274E+09
8.000E+00	4.263E+10	5.933E+09
9.000E+00	3.739E+10	4.625E+09
1.000E+01	3.325E+10	3.962E+09
1.600E+01	1.831E+10	1.522E+09
1.800E+01	1.554E+10	1.200E+09
2.000E+01	1.342E+10	9.691E+08
2.500E+01	9.611E+09	6.022E+08
3.500E+01	5.543E+09	2.679E+08
4.000E+01	4.390E+09	1.960E+08
4.500E+01	3.541E+09	1.457E+08
5.000E+01	2.904E+09	1.133E+08
7.100E+01	1.429E+09	4.219E+07
8.000E+01	1.103E+09	3.051E+07
9.000E+01	8.457E+08	2.157E+07
1.000E+02	6.613E+08	1.569E+07
1.600E+02	2.130E+08	3.344E+06
1.800E+02	1.566E+08	2.313E+06
2.000E+02	1.177E+08	1.657E+06
2.500E+02	6.130E+07	8.581E+05
4.000E+02	9.035E+06	9.202E+04
