====== H into ICRU Sphere                       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 5000000 keV
============= TARGET MATERIAL ======================================
Layer 1 : ICRU Sphere
Layer Width = 60000.E+05 A ;
  Layer # 1- Density = 9.570E22 atoms/cm3 = 1 g/cm3
  Layer # 1-  H = 63.0 Atomic Percent = 10.1 Mass Percent
  Layer # 1-  C = 5.81 Atomic Percent = 11.0 Mass Percent
  Layer # 1-  N = 1.16 Atomic Percent = 2.59 Mass Percent
  Layer # 1-  O = 29.9 Atomic Percent = 76.2 Mass Percent
====================================================================
 Total Ions calculated =037373.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
600000.E+02  2123.03E-05  3710.79E-11
120000.E+03  2112.44E-05  1248.14E-10
180000.E+03  2096.37E-05  1649.02E-09
240000.E+03  2111.48E-05  1022.63E-10
300000.E+03  2112.87E-05  1141.05E-10
360000.E+03  2110.68E-05  2005.26E-10
420000.E+03  2120.45E-05  2118.22E-10
480000.E+03  2127.70E-05  2141.35E-10
540000.E+03  2115.89E-05  2763.32E-10
600000.E+03  2107.02E-05  5463.36E-10
660000.E+03  2110.38E-05  1546.49E-10
720000.E+03  2118.45E-05  6103.29E-11
780000.E+03  2123.75E-05  1116.04E-10
840000.E+03  2106.02E-05  6236.05E-11
900000.E+03  2100.30E-05  1013.96E-10
960000.E+03  2108.84E-05  8678.66E-11
102000.E+04  2097.94E-05  1381.57E-10
108000.E+04  2092.90E-05  1815.39E-10
114000.E+04  2122.69E-05  7701.73E-11
120000.E+04  2113.54E-05  1497.41E-10
126000.E+04  2108.17E-05  2315.23E-10
132000.E+04  2093.07E-05  2007.37E-10
138000.E+04  2102.47E-05  8341.88E-11
144000.E+04  2106.73E-05  1988.93E-10
150000.E+04  2101.70E-05  8486.17E-11
156000.E+04  2125.23E-05  1205.27E-10
162000.E+04  2112.19E-05  1749.49E-10
168000.E+04  2111.44E-05  1400.54E-10
174000.E+04  2115.89E-05  1002.12E-10
180000.E+04  2126.77E-05  1319.35E-10
186000.E+04  2109.87E-05  9578.35E-11
192000.E+04  2107.64E-05  1180.91E-10
198000.E+04  2119.72E-05  7443.05E-11
204000.E+04  2105.03E-05  9874.51E-11
210000.E+04  2105.45E-05  1882.47E-10
216000.E+04  2108.74E-05  5730.46E-11
222000.E+04  2112.87E-05  2024.05E-10
228000.E+04  2116.21E-05  2032.72E-10
234000.E+04  2109.52E-05  3165.54E-10
240000.E+04  2115.54E-05  2185.92E-10
246000.E+04  2103.85E-05  9700.94E-11
252000.E+04  2098.15E-05  1137.03E-10
258000.E+04  2115.26E-05  1883.76E-10
264000.E+04  2125.76E-05  8769.01E-11
270000.E+04  2124.58E-05  8829.15E-11
276000.E+04  2111.23E-05  7549.91E-10
282000.E+04  2100.62E-05  1740.30E-10
288000.E+04  2103.28E-05  9958.97E-11
294000.E+04  2103.60E-05  1642.20E-10
300000.E+04  2116.31E-05  1825.13E-10
306000.E+04  2098.44E-05  2551.37E-09
312000.E+04  2101.45E-05  9668.30E-11
318000.E+04  2105.34E-05  1422.77E-10
324000.E+04  2108.59E-05  2421.13E-10
330000.E+04  2094.25E-05  3125.97E-10
336000.E+04  2100.77E-05  3958.82E-10
342000.E+04  2102.83E-05  1295.99E-10
348000.E+04  2120.16E-05  1803.27E-10
354000.E+04  2104.00E-05  1085.59E-10
360000.E+04  2097.56E-05  2187.93E-10
366000.E+04  2103.30E-05  9657.50E-11
372000.E+04  2118.82E-05  1107.53E-10
378000.E+04  2116.65E-05  8070.65E-11
384000.E+04  2117.67E-05  3328.53E-10
390000.E+04  2102.14E-05  6942.85E-11
396000.E+04  2103.86E-05  1028.83E-10
402000.E+04  2104.09E-05  1548.99E-10
408000.E+04  2105.60E-05  1667.64E-10
414000.E+04  2105.20E-05  2285.19E-10
420000.E+04  2109.27E-05  2076.21E-10
426000.E+04  2109.95E-05  8129.78E-10
432000.E+04  2104.14E-05  3186.82E-10
438000.E+04  2118.87E-05  2361.97E-10
444000.E+04  2108.57E-05  1066.54E-10
450000.E+04  2105.12E-05  9020.88E-11
456000.E+04  2117.11E-05  1182.61E-09
462000.E+04  2112.78E-05  2006.45E-10
468000.E+04  2103.67E-05  1246.72E-09
474000.E+04  2105.09E-05  4549.57E-10
480000.E+04  2121.43E-05  9042.29E-11
486000.E+04  2103.58E-05  8134.60E-10
492000.E+04  2113.11E-05  7786.57E-11
498000.E+04  2093.10E-05  2083.37E-10
504000.E+04  2109.09E-05  6198.11E-11
510000.E+04  2097.89E-05  2207.91E-10
516000.E+04  2104.83E-05  9836.78E-11
522000.E+04  2112.95E-05  6270.79E-11
528000.E+04  2095.18E-05  1650.29E-10
534000.E+04  2103.81E-05  1090.60E-10
540000.E+04  2112.67E-05  4320.66E-10
546000.E+04  2107.78E-05  8830.75E-11
552000.E+04  2105.92E-05  9142.28E-11
558000.E+04  2108.96E-05  1741.34E-10
564000.E+04  2099.85E-05  2854.41E-10
570000.E+04  2104.85E-05  3047.61E-10
576000.E+04  2116.37E-05  3587.94E-10
582000.E+04  2100.81E-05  2150.01E-10
588000.E+04  2096.77E-05  8198.75E-11
594000.E+04  2090.47E-05  8367.01E-11
600000.E+04  2099.79E-05  1379.89E-09
