                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1783E+10 (#/cm^2/sec)
 95% Total Flux        =   0.5686E+10 (#/cm^2/sec)
  5% Total Flux        =   0.6744E+09 (#/cm^2/sec)
  67% Total Flux       =   0.2363E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2925E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2893E+08 (#/cm^2/sec)
 Mean Total Flux       =   0.2281E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1701E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.1322E+12  0.4214E+12  0.5017E+11  0.1780E+12  0.2031E+13  0.7967E+10  0.1695E+12  0.1247E+12
    0.0014    0.0019  0.1285E+12  0.4099E+12  0.4913E+11  0.1728E+12  0.1980E+13  0.7838E+10  0.1648E+12  0.1211E+12
    0.0019    0.0026  0.1229E+12  0.3911E+12  0.4716E+11  0.1648E+12  0.1903E+13  0.3746E+10  0.1575E+12  0.1157E+12
    0.0026    0.0036  0.1146E+12  0.3649E+12  0.4406E+11  0.1532E+12  0.1792E+13  0.1517E+10  0.1468E+12  0.1081E+12
    0.0036    0.0050  0.1033E+12  0.3289E+12  0.3965E+11  0.1377E+12  0.1640E+13  0.6808E+09  0.1324E+12  0.9775E+11
    0.0050    0.0069  0.8912E+11  0.2840E+12  0.3389E+11  0.1184E+12  0.1445E+13  0.3279E+09  0.1142E+12  0.8477E+11
    0.0069    0.0095  0.7261E+11  0.2324E+12  0.2729E+11  0.9641E+11  0.1209E+13  0.1663E+09  0.9305E+11  0.6963E+11
    0.0095    0.0132  0.5520E+11  0.1769E+12  0.2041E+11  0.7322E+11  0.9461E+12  0.8762E+08  0.7075E+11  0.5343E+11
    0.0132    0.0182  0.3866E+11  0.1242E+12  0.1406E+11  0.5125E+11  0.6806E+12  0.4754E+08  0.4955E+11  0.3777E+11
    0.0182    0.0251  0.2467E+11  0.7954E+11  0.8849E+10  0.3273E+11  0.4421E+12  0.2640E+08  0.3164E+11  0.2428E+11
    0.0251    0.0347  0.1428E+11  0.4605E+11  0.5113E+10  0.1894E+11  0.2550E+12  0.1493E+08  0.1831E+11  0.1406E+11
    0.0347    0.0479  0.7502E+10  0.2405E+11  0.2723E+10  0.9938E+10  0.1291E+12  0.8569E+07  0.9603E+10  0.7313E+10
    0.0479    0.0661  0.3595E+10  0.1149E+11  0.1342E+10  0.4751E+10  0.5694E+11  0.4977E+07  0.4592E+10  0.3439E+10
