                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.8057E+09 (#/cm^2/sec)
 95% Total Flux        =   0.2645E+10 (#/cm^2/sec)
  5% Total Flux        =   0.2571E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1104E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.1548E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.1366E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1045E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.8161E+09 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.8682E+11  0.2820E+12  0.2898E+11  0.1185E+12  0.1544E+13  0.2440E+09  0.1122E+12  0.8585E+11
    0.0014    0.0019  0.7936E+11  0.2583E+12  0.2611E+11  0.1084E+12  0.1439E+13  0.1819E+09  0.1026E+12  0.7895E+11
    0.0019    0.0026  0.7089E+11  0.2314E+12  0.2297E+11  0.9692E+11  0.1315E+13  0.1332E+09  0.9173E+11  0.7100E+11
    0.0026    0.0036  0.6146E+11  0.2015E+12  0.1961E+11  0.8407E+11  0.1170E+13  0.9580E+08  0.7964E+11  0.6208E+11
    0.0036    0.0050  0.5144E+11  0.1695E+12  0.1614E+11  0.7042E+11  0.1006E+13  0.6779E+08  0.6672E+11  0.5241E+11
    0.0050    0.0069  0.4120E+11  0.1364E+12  0.1274E+11  0.5645E+11  0.8293E+12  0.4724E+08  0.5354E+11  0.4237E+11
    0.0069    0.0095  0.3136E+11  0.1042E+12  0.9570E+10  0.4302E+11  0.6476E+12  0.3246E+08  0.4081E+11  0.3252E+11
    0.0095    0.0132  0.2249E+11  0.7502E+11  0.6810E+10  0.3090E+11  0.4735E+12  0.2201E+08  0.2931E+11  0.2347E+11
    0.0132    0.0182  0.1510E+11  0.5044E+11  0.4571E+10  0.2075E+11  0.3198E+12  0.1475E+08  0.1969E+11  0.1579E+11
    0.0182    0.0251  0.9448E+10  0.3146E+11  0.2886E+10  0.1297E+11  0.1971E+12  0.9784E+07  0.1231E+11  0.9826E+10
