                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1222E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3962E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4354E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1645E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2233E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2834E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1574E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1202E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.1141E+12  0.3657E+12  0.4249E+11  0.1536E+12  0.1860E+13  0.1036E+10  0.1465E+12  0.1090E+12
    0.0014    0.0019  0.1073E+12  0.3442E+12  0.3969E+11  0.1443E+12  0.1776E+13  0.6532E+09  0.1377E+12  0.1028E+12
    0.0019    0.0026  0.9858E+11  0.3173E+12  0.3619E+11  0.1326E+12  0.1666E+13  0.4105E+09  0.1267E+12  0.9500E+11
    0.0026    0.0036  0.8817E+11  0.2844E+12  0.3205E+11  0.1185E+12  0.1527E+13  0.2572E+09  0.1133E+12  0.8549E+11
    0.0036    0.0050  0.7601E+11  0.2456E+12  0.2725E+11  0.1023E+12  0.1357E+13  0.1607E+09  0.9785E+11  0.7435E+11
    0.0050    0.0069  0.6272E+11  0.2036E+12  0.2211E+11  0.8443E+11  0.1157E+13  0.1002E+09  0.8081E+11  0.6191E+11
    0.0069    0.0095  0.4897E+11  0.1599E+12  0.1699E+11  0.6607E+11  0.9352E+12  0.6240E+08  0.6320E+11  0.4885E+11
    0.0095    0.0132  0.3586E+11  0.1175E+12  0.1222E+11  0.4842E+11  0.7071E+12  0.3879E+08  0.4633E+11  0.3611E+11
    0.0132    0.0182  0.2439E+11  0.8032E+11  0.8203E+10  0.3296E+11  0.4924E+12  0.2408E+08  0.3154E+11  0.2473E+11
    0.0182    0.0251  0.1531E+11  0.5045E+11  0.5130E+10  0.2069E+11  0.3110E+12  0.1493E+08  0.1980E+11  0.1554E+11
