                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1217E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3898E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4289E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1639E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2086E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.3293E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1564E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1183E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.1136E+12  0.3628E+12  0.4209E+11  0.1535E+12  0.1806E+13  0.1366E+10  0.1460E+12  0.1081E+12
    0.0014    0.0019  0.1067E+12  0.3413E+12  0.3927E+11  0.1441E+12  0.1716E+13  0.8273E+09  0.1372E+12  0.1018E+12
    0.0019    0.0026  0.9811E+11  0.3136E+12  0.3576E+11  0.1324E+12  0.1601E+13  0.5021E+09  0.1261E+12  0.9396E+11
    0.0026    0.0036  0.8772E+11  0.2806E+12  0.3162E+11  0.1183E+12  0.1459E+13  0.3054E+09  0.1128E+12  0.8444E+11
    0.0036    0.0050  0.7564E+11  0.2423E+12  0.2690E+11  0.1020E+12  0.1287E+13  0.1861E+09  0.9730E+11  0.7333E+11
    0.0050    0.0069  0.6237E+11  0.2004E+12  0.2179E+11  0.8411E+11  0.1090E+13  0.1135E+09  0.8031E+11  0.6098E+11
    0.0069    0.0095  0.4872E+11  0.1572E+12  0.1671E+11  0.6573E+11  0.8746E+12  0.6938E+08  0.6278E+11  0.4805E+11
    0.0095    0.0132  0.3568E+11  0.1155E+12  0.1202E+11  0.4817E+11  0.6565E+12  0.4245E+08  0.4600E+11  0.3548E+11
    0.0132    0.0182  0.2425E+11  0.7878E+11  0.8082E+10  0.3278E+11  0.4541E+12  0.2600E+08  0.3131E+11  0.2428E+11
    0.0182    0.0251  0.1521E+11  0.4944E+11  0.5062E+10  0.2056E+11  0.2852E+12  0.1594E+08  0.1964E+11  0.1525E+11
    0.0251    0.0347  0.8777E+10  0.2843E+11  0.2950E+10  0.1185E+11  0.1605E+12  0.9779E+07  0.1132E+11  0.8736E+10
    0.0347    0.0479  0.4653E+10  0.1497E+11  0.1604E+10  0.6275E+10  0.8015E+11  0.6004E+07  0.5992E+10  0.4565E+10
    0.0479    0.0661  0.2277E+10  0.7293E+10  0.8130E+09  0.3074E+10  0.3534E+11  0.3688E+07  0.2930E+10  0.2192E+10
    0.0661    0.0912  0.1035E+10  0.3310E+10  0.3855E+09  0.1412E+10  0.1391E+11  0.2267E+07  0.1336E+10  0.9824E+09
    0.0912    0.1259  0.4453E+09  0.1425E+10  0.1690E+09  0.6130E+09  0.5854E+10  0.1394E+07  0.5765E+09  0.4214E+09
    0.1259    0.1738  0.1857E+09  0.5950E+09  0.6750E+08  0.2498E+09  0.2518E+10  0.8575E+06  0.2387E+09  0.1782E+09
    0.1738    0.2399  0.7419E+08  0.2448E+09  0.2504E+08  0.1001E+09  0.1051E+10  0.5276E+06  0.9630E+08  0.7621E+08
    0.2399    0.3311  0.2854E+08  0.1018E+09  0.8557E+07  0.3959E+08  0.4584E+09  0.3247E+06  0.3837E+08  0.3349E+08
    0.3311    0.4571  0.1067E+08  0.4350E+08  0.2734E+07  0.1543E+08  0.2471E+09  0.1999E+06  0.1527E+08  0.1517E+08
    0.4571    0.6310  0.3906E+07  0.1883E+08  0.8301E+06  0.5934E+07  0.1347E+09  0.5812E+05  0.6126E+07  0.7071E+07
    0.6310    0.8710  0.1404E+07  0.8356E+07  0.2408E+06  0.2263E+07  0.7328E+08  0.1404E+05  0.2491E+07  0.3376E+07
