                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1208E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3898E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4251E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1625E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2174E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2907E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1553E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1179E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.1133E+12  0.3629E+12  0.4187E+11  0.1525E+12  0.1839E+13  0.1086E+10  0.1455E+12  0.1080E+12
    0.0014    0.0019  0.1064E+12  0.3409E+12  0.3907E+11  0.1431E+12  0.1753E+13  0.6803E+09  0.1366E+12  0.1017E+12
    0.0019    0.0026  0.9772E+11  0.3136E+12  0.3555E+11  0.1315E+12  0.1641E+13  0.4251E+09  0.1255E+12  0.9381E+11
    0.0026    0.0036  0.8733E+11  0.2800E+12  0.3139E+11  0.1173E+12  0.1500E+13  0.2650E+09  0.1121E+12  0.8428E+11
    0.0036    0.0050  0.7522E+11  0.2422E+12  0.2667E+11  0.1011E+12  0.1329E+13  0.1649E+09  0.9668E+11  0.7316E+11
    0.0050    0.0069  0.6198E+11  0.2005E+12  0.2160E+11  0.8345E+11  0.1130E+13  0.1024E+09  0.7975E+11  0.6082E+11
    0.0069    0.0095  0.4834E+11  0.1570E+12  0.1656E+11  0.6516E+11  0.9109E+12  0.6357E+08  0.6230E+11  0.4791E+11
    0.0095    0.0132  0.3536E+11  0.1155E+12  0.1191E+11  0.4774E+11  0.6867E+12  0.3940E+08  0.4563E+11  0.3536E+11
    0.0132    0.0182  0.2404E+11  0.7878E+11  0.8008E+10  0.3247E+11  0.4769E+12  0.2440E+08  0.3104E+11  0.2419E+11
    0.0182    0.0251  0.1508E+11  0.4942E+11  0.5012E+10  0.2037E+11  0.3005E+12  0.1510E+08  0.1947E+11  0.1519E+11
    0.0251    0.0347  0.8696E+10  0.2843E+11  0.2922E+10  0.1174E+11  0.1695E+12  0.9341E+07  0.1122E+11  0.8704E+10
    0.0347    0.0479  0.4617E+10  0.1497E+11  0.1592E+10  0.6217E+10  0.8473E+11  0.5774E+07  0.5941E+10  0.4549E+10
    0.0479    0.0661  0.2263E+10  0.7294E+10  0.8067E+09  0.3043E+10  0.3735E+11  0.3568E+07  0.2906E+10  0.2184E+10
    0.0661    0.0912  0.1030E+10  0.3328E+10  0.3808E+09  0.1391E+10  0.1465E+11  0.2204E+07  0.1327E+10  0.9794E+09
    0.0912    0.1259  0.4445E+09  0.1429E+10  0.1673E+09  0.6024E+09  0.6073E+10  0.1361E+07  0.5727E+09  0.4203E+09
    0.1259    0.1738  0.1850E+09  0.5954E+09  0.6715E+08  0.2478E+09  0.2604E+10  0.8401E+06  0.2373E+09  0.1778E+09
    0.1738    0.2399  0.7384E+08  0.2444E+09  0.2485E+08  0.9949E+08  0.1082E+10  0.5185E+06  0.9581E+08  0.7606E+08
    0.2399    0.3311  0.2841E+08  0.1015E+09  0.8499E+07  0.3941E+08  0.4664E+09  0.3200E+06  0.3821E+08  0.3343E+08
    0.3311    0.4571  0.1062E+08  0.4337E+08  0.2714E+07  0.1537E+08  0.2533E+09  0.1974E+06  0.1522E+08  0.1515E+08
    0.4571    0.6310  0.3887E+07  0.1881E+08  0.8248E+06  0.5914E+07  0.1376E+09  0.5440E+05  0.6107E+07  0.7061E+07
    0.6310    0.8710  0.1399E+07  0.8330E+07  0.2392E+06  0.2255E+07  0.7461E+08  0.1325E+05  0.2485E+07  0.3372E+07
    0.8710    1.2023  0.4980E+06  0.3756E+07  0.6697E+05  0.8546E+06  0.4040E+08  0.3146E+04  0.1029E+07  0.1646E+07
    1.2023    1.6596  0.1755E+06  0.1705E+07  0.1847E+05  0.3225E+06  0.2186E+08  0.6774E+03  0.4354E+06  0.8190E+06
    1.6596    2.2909  0.6157E+05  0.7786E+06  0.4984E+04  0.1214E+06  0.1182E+08  0.1227E+03  0.1882E+06  0.4150E+06
    2.2909    3.1623  0.2150E+05  0.3565E+06  0.1327E+04  0.4566E+05  0.6405E+07  0.2036E+02  0.8320E+05  0.2138E+06
    3.1623    4.3652  0.7469E+04  0.1638E+06  0.3522E+03  0.1714E+05  0.3621E+07  0.3336E+01  0.3759E+05  0.1119E+06
    4.3652    6.0256  0.2595E+04  0.7538E+05  0.9269E+02  0.6407E+04  0.2047E+07  0.5419E+00  0.1735E+05  0.5933E+05
    6.0256    8.3176  0.8982E+03  0.3476E+05  0.2409E+02  0.2401E+04  0.1156E+07  0.8748E-01  0.8171E+04  0.3186E+05
    8.3176   11.4815  0.3100E+03  0.1610E+05  0.6252E+01  0.9004E+03  0.6533E+06  0.1405E-01  0.3921E+04  0.1730E+05
   11.4815   15.8489  0.1073E+03  0.7434E+04  0.1614E+01  0.3366E+03  0.3691E+06  0.2250E-02  0.1915E+04  0.9483E+04
   15.8489   21.8776  0.3714E+02  0.3450E+04  0.4144E+00  0.1260E+03  0.2161E+06  0.3594E-03  0.9509E+03  0.5244E+04
   21.8776   30.1995  0.1281E+02  0.1598E+04  0.1071E+00  0.4714E+02  0.1267E+06  0.5731E-04  0.4792E+03  0.2923E+04
   30.1995   41.6869  0.4432E+01  0.7418E+03  0.2746E-01  0.1760E+02  0.7425E+05  0.9125E-05  0.2448E+03  0.1640E+04
   41.6869   57.5440  0.1531E+01  0.3453E+03  0.7015E-02  0.6596E+01  0.4352E+05  0.1452E-05  0.1266E+03  0.9262E+03
   57.5440   79.4328  0.5294E+00  0.1599E+03  0.1799E-02  0.2477E+01  0.2551E+05  0.2308E-06  0.6626E+02  0.5259E+03
   79.4328  109.6478  0.1828E+00  0.7462E+02  0.4604E-03  0.9281E+00  0.1495E+05  0.3668E-07  0.3503E+02  0.3000E+03
  109.6478  151.3562  0.6315E-01  0.3456E+02  0.1176E-03  0.3475E+00  0.8763E+04  0.5826E-08  0.1870E+02  0.1720E+03
  151.3562  208.9296  0.2176E-01  0.1602E+02  0.3005E-04  0.1299E+00  0.5202E+04  0.9253E-09  0.1007E+02  0.9894E+02
  208.9296  288.4032  0.7528E-02  0.7427E+01  0.7709E-05  0.4851E-01  0.3177E+04  0.1469E-09  0.5461E+01  0.5713E+02
  288.4032  398.1071  0.2600E-02  0.3457E+01  0.1964E-05  0.1814E-01  0.1940E+04  0.2333E-10  0.2984E+01  0.3310E+02
  398.1071  549.5409  0.8988E-03  0.1605E+01  0.5008E-06  0.6776E-02  0.1185E+04  0.3703E-11  0.1641E+01  0.1924E+02
  549.5409  758.5778  0.3093E-03  0.7509E+00  0.1276E-06  0.2534E-02  0.7237E+03  0.5879E-12  0.9079E+00  0.1121E+02
  758.5778 1047.1285  0.1065E-03  0.3514E+00  0.3271E-07  0.9476E-03  0.4420E+03  0.9332E-13  0.5051E+00  0.6547E+01
 1047.1285 1445.4401  0.3675E-04  0.1634E+00  0.8358E-08  0.3542E-03  0.2700E+03  0.1481E-13  0.2824E+00  0.3833E+01
 1445.4401 1995.2621  0.1269E-04  0.7627E-01  0.2137E-08  0.1322E-03  0.1649E+03  0.2351E-14  0.1586E+00  0.2249E+01
 1995.2621 2754.2290  0.4379E-05  0.3555E-01  0.5425E-09  0.4940E-04  0.1007E+03  0.3732E-15  0.8944E-01  0.1322E+01
 2754.2290 3801.8933  0.1512E-05  0.1662E-01  0.1380E-09  0.1849E-04  0.6150E+02  0.5923E-16  0.5064E-01  0.7788E+00
 3801.8933 5248.0747  0.5223E-06  0.7757E-02  0.3512E-10  0.6922E-05  0.3756E+02  0.9401E-17  0.2877E-01  0.4594E+00
 5248.0747 7244.3579  0.1807E-06  0.3621E-02  0.8977E-11  0.2588E-05  0.2294E+02  0.1492E-17  0.1640E-01  0.2715E+00
 7244.3579 10000.0000  0.6239E-07  0.1689E-02  0.2290E-11  0.9700E-06  0.1401E+02  0.2368E-18  0.9380E-02  0.1606E+00
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.4310E+08  0.1380E+09  0.1593E+08  0.5802E+08  0.6996E+09  0.4131E+06  0.5534E+08  0.4107E+08
    0.0014    0.0019  0.5586E+08  0.1790E+09  0.2052E+08  0.7514E+08  0.9203E+09  0.3572E+06  0.7170E+08  0.5339E+08
    0.0019    0.0026  0.7083E+08  0.2273E+09  0.2577E+08  0.9532E+08  0.1189E+10  0.3081E+06  0.9094E+08  0.6799E+08
    0.0026    0.0036  0.8737E+08  0.2801E+09  0.3140E+08  0.1174E+09  0.1501E+10  0.2651E+06  0.1122E+09  0.8432E+08
    0.0036    0.0050  0.1039E+09  0.3345E+09  0.3683E+08  0.1397E+09  0.1836E+10  0.2277E+06  0.1335E+09  0.1010E+09
    0.0050    0.0069  0.1182E+09  0.3823E+09  0.4118E+08  0.1591E+09  0.2154E+10  0.1953E+06  0.1520E+09  0.1159E+09
    0.0069    0.0095  0.1272E+09  0.4132E+09  0.4359E+08  0.1715E+09  0.2397E+10  0.1673E+06  0.1639E+09  0.1261E+09
    0.0095    0.0132  0.1285E+09  0.4194E+09  0.4328E+08  0.1734E+09  0.2494E+10  0.1431E+06  0.1658E+09  0.1285E+09
    0.0132    0.0182  0.1205E+09  0.3950E+09  0.4015E+08  0.1628E+09  0.2391E+10  0.1224E+06  0.1557E+09  0.1213E+09
    0.0182    0.0251  0.1044E+09  0.3421E+09  0.3469E+08  0.1410E+09  0.2080E+10  0.1045E+06  0.1348E+09  0.1051E+09
    0.0251    0.0347  0.8308E+08  0.2716E+09  0.2792E+08  0.1122E+09  0.1620E+10  0.8925E+05  0.1072E+09  0.8317E+08
    0.0347    0.0479  0.6090E+08  0.1974E+09  0.2099E+08  0.8200E+08  0.1118E+10  0.7616E+05  0.7836E+08  0.6000E+08
    0.0479    0.0661  0.4120E+08  0.1328E+09  0.1469E+08  0.5541E+08  0.6800E+09  0.6496E+05  0.5292E+08  0.3977E+08
    0.0661    0.0912  0.2589E+08  0.8364E+08  0.9571E+07  0.3496E+08  0.3682E+09  0.5539E+05  0.3334E+08  0.2461E+08
    0.0912    0.1259  0.1542E+08  0.4958E+08  0.5805E+07  0.2090E+08  0.2107E+09  0.4721E+05  0.1987E+08  0.1458E+08
    0.1259    0.1738  0.8860E+07  0.2851E+08  0.3216E+07  0.1187E+08  0.1247E+09  0.4023E+05  0.1136E+08  0.8513E+07
    0.1738    0.2399  0.4881E+07  0.1615E+08  0.1643E+07  0.6577E+07  0.7154E+08  0.3427E+05  0.6333E+07  0.5028E+07
    0.2399    0.3311  0.2592E+07  0.9264E+07  0.7755E+06  0.3596E+07  0.4256E+08  0.2920E+05  0.3486E+07  0.3050E+07
    0.3311    0.4571  0.1337E+07  0.5463E+07  0.3418E+06  0.1936E+07  0.3190E+08  0.2486E+05  0.1917E+07  0.1908E+07
