                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1230E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3959E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4390E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1660E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2144E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.3202E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1585E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1204E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0014  0.1144E+12  0.3658E+12  0.4272E+11  0.1546E+12  0.1828E+13  0.1298E+10  0.1471E+12  0.1091E+12
    0.0014    0.0019  0.1075E+12  0.3440E+12  0.3992E+11  0.1453E+12  0.1740E+13  0.7922E+09  0.1383E+12  0.1029E+12
    0.0019    0.0026  0.9889E+11  0.3168E+12  0.3640E+11  0.1336E+12  0.1628E+13  0.4840E+09  0.1273E+12  0.9514E+11
    0.0026    0.0036  0.8849E+11  0.2839E+12  0.3220E+11  0.1195E+12  0.1486E+13  0.2960E+09  0.1140E+12  0.8563E+11
    0.0036    0.0050  0.7644E+11  0.2459E+12  0.2747E+11  0.1031E+12  0.1315E+13  0.1812E+09  0.9847E+11  0.7448E+11
    0.0050    0.0069  0.6312E+11  0.2036E+12  0.2230E+11  0.8520E+11  0.1116E+13  0.1110E+09  0.8137E+11  0.6203E+11
    0.0069    0.0095  0.4933E+11  0.1596E+12  0.1714E+11  0.6662E+11  0.8984E+12  0.6807E+08  0.6367E+11  0.4895E+11
    0.0095    0.0132  0.3615E+11  0.1174E+12  0.1236E+11  0.4883E+11  0.6763E+12  0.4177E+08  0.4670E+11  0.3619E+11
    0.0132    0.0182  0.2460E+11  0.8023E+11  0.8302E+10  0.3324E+11  0.4690E+12  0.2564E+08  0.3181E+11  0.2479E+11
    0.0182    0.0251  0.1544E+11  0.5039E+11  0.5198E+10  0.2086E+11  0.2952E+12  0.1575E+08  0.1996E+11  0.1558E+11
    0.0251    0.0347  0.8901E+10  0.2893E+11  0.3033E+10  0.1203E+11  0.1664E+12  0.9682E+07  0.1150E+11  0.8928E+10
    0.0347    0.0479  0.4717E+10  0.1523E+11  0.1647E+10  0.6372E+10  0.8314E+11  0.5953E+07  0.6086E+10  0.4664E+10
    0.0479    0.0661  0.2308E+10  0.7403E+10  0.8331E+09  0.3119E+10  0.3665E+11  0.3662E+07  0.2973E+10  0.2237E+10
    0.0661    0.0912  0.1049E+10  0.3358E+10  0.3955E+09  0.1430E+10  0.1441E+11  0.2253E+07  0.1355E+10  0.1001E+10
    0.0912    0.1259  0.4514E+09  0.1443E+10  0.1741E+09  0.6201E+09  0.6046E+10  0.1387E+07  0.5836E+09  0.4286E+09
    0.1259    0.1738  0.1875E+09  0.6025E+09  0.6904E+08  0.2527E+09  0.2586E+10  0.8537E+06  0.2413E+09  0.1808E+09
    0.1738    0.2399  0.7485E+08  0.2474E+09  0.2548E+08  0.1010E+09  0.1076E+10  0.5256E+06  0.9722E+08  0.7712E+08
    0.2399    0.3311  0.2877E+08  0.1027E+09  0.8689E+07  0.3985E+08  0.4597E+09  0.3237E+06  0.3869E+08  0.3381E+08
    0.3311    0.4571  0.1074E+08  0.4379E+08  0.2765E+07  0.1551E+08  0.2508E+09  0.1994E+06  0.1538E+08  0.1529E+08
    0.4571    0.6310  0.3930E+07  0.1894E+08  0.8365E+06  0.5966E+07  0.1364E+09  0.6056E+05  0.6161E+07  0.7114E+07
    0.6310    0.8710  0.1412E+07  0.8385E+07  0.2423E+06  0.2275E+07  0.7407E+08  0.1455E+05  0.2503E+07  0.3393E+07
    0.8710    1.2023  0.5024E+06  0.3779E+07  0.6773E+05  0.8609E+06  0.4015E+08  0.3325E+04  0.1036E+07  0.1654E+07
    1.2023    1.6596  0.1767E+06  0.1713E+07  0.1865E+05  0.3246E+06  0.2174E+08  0.7060E+03  0.4376E+06  0.8224E+06
    1.6596    2.2909  0.6194E+05  0.7820E+06  0.5029E+04  0.1220E+06  0.1176E+08  0.1215E+03  0.1890E+06  0.4165E+06
    2.2909    3.1623  0.2159E+05  0.3572E+06  0.1336E+04  0.4585E+05  0.6469E+07  0.2018E+02  0.8349E+05  0.2145E+06
