                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Negative X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.4692E+09 (#/cm^2/sec)
 95% Total Flux        =   0.2282E+10 (#/cm^2/sec)
  5% Total Flux        =   0.1243E+09 (#/cm^2/sec)
  95% Total Flux       =   0.2282E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.1840E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2884E+08 (#/cm^2/sec)
 Mean Total Flux       =   0.7522E+09 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.8779E+09 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.1129E+05  0.1778E+06  0.1438E+04  0.1778E+06  0.2918E+07  0.2333E-03  0.4507E+05  0.1335E+06
    0.0013    0.0017  0.1162E+05  0.1824E+06  0.1470E+04  0.1824E+06  0.2983E+07  0.2553E-03  0.4630E+05  0.1367E+06
    0.0017    0.0023  0.1201E+05  0.1890E+06  0.1511E+04  0.1890E+06  0.3059E+07  0.2833E-03  0.4776E+05  0.1406E+06
    0.0023    0.0030  0.1248E+05  0.1955E+06  0.1553E+04  0.1955E+06  0.3150E+07  0.3194E-03  0.4950E+05  0.1453E+06
    0.0030    0.0040  0.1304E+05  0.2046E+06  0.1614E+04  0.2046E+06  0.3257E+07  0.3668E-03  0.5161E+05  0.1508E+06
    0.0040    0.0052  0.1370E+05  0.2148E+06  0.1682E+04  0.2148E+06  0.3386E+07  0.4304E-03  0.5415E+05  0.1575E+06
    0.0052    0.0069  0.1454E+05  0.2270E+06  0.1758E+04  0.2270E+06  0.3542E+07  0.5178E-03  0.5727E+05  0.1657E+06
    0.0069    0.0091  0.1560E+05  0.2428E+06  0.1852E+04  0.2428E+06  0.3730E+07  0.6414E-03  0.6111E+05  0.1757E+06
    0.0091    0.0120  0.1690E+05  0.2627E+06  0.1972E+04  0.2627E+06  0.3961E+07  0.8220E-03  0.6592E+05  0.1881E+06
    0.0120    0.0158  0.1859E+05  0.2880E+06  0.2121E+04  0.2880E+06  0.4247E+07  0.1096E-02  0.7202E+05  0.2037E+06
    0.0158    0.0209  0.2083E+05  0.3196E+06  0.2310E+04  0.3196E+06  0.4605E+07  0.1532E-02  0.7990E+05  0.2237E+06
    0.0209    0.0275  0.2374E+05  0.3621E+06  0.2564E+04  0.3621E+06  0.5059E+07  0.2264E-02  0.9026E+05  0.2498E+06
    0.0275    0.0363  0.2774E+05  0.4213E+06  0.2883E+04  0.4213E+06  0.5646E+07  0.3571E-02  0.1043E+06  0.2845E+06
    0.0363    0.0479  0.3346E+05  0.5005E+06  0.3326E+04  0.5005E+06  0.6418E+07  0.6091E-02  0.1237E+06  0.3322E+06
    0.0479    0.0631  0.4159E+05  0.6168E+06  0.3917E+04  0.6168E+06  0.7459E+07  0.1141E-01  0.1519E+06  0.4000E+06
    0.0631    0.0832  0.5370E+05  0.7895E+06  0.4710E+04  0.7895E+06  0.8900E+07  0.2392E-01  0.1945E+06  0.5010E+06
    0.0832    0.1096  0.7354E+05  0.1061E+07  0.5867E+04  0.1061E+07  0.1097E+08  0.5756E-01  0.2630E+06  0.6607E+06
    0.1096    0.1445  0.1078E+06  0.1540E+07  0.7651E+04  0.1540E+07  0.1521E+08  0.1640E+00  0.3826E+06  0.9344E+06
    0.1445    0.1905  0.1735E+06  0.2487E+07  0.1022E+05  0.2487E+07  0.2672E+08  0.5765E+00  0.6159E+06  0.1462E+07
    0.1905    0.2512  0.3169E+06  0.4637E+07  0.1464E+05  0.4637E+07  0.5351E+08  0.2639E+01  0.1153E+07  0.2690E+07
    0.2512    0.3311  0.6841E+06  0.1161E+08  0.2275E+05  0.1161E+08  0.1359E+09  0.1692E+02  0.2796E+07  0.6834E+07
    0.3311    0.4365  0.1911E+07  0.4947E+08  0.3946E+05  0.4947E+08  0.2082E+10  0.1673E+03  0.1198E+08  0.4681E+08
