                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Positive X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1205E+04 (#/cm^2/sec)
 95% Total Flux        =   0.2080E+05 (#/cm^2/sec)
  5% Total Flux        =   0.2171E+03 (#/cm^2/sec)
  95% Total Flux       =   0.2080E+05 (#/cm^2/sec)
 Maximum Total Flux    =   0.4887E+06 (#/cm^2/sec)
 Minimum Total Flux    =   0.8659E-06 (#/cm^2/sec)
 Mean Total Flux       =   0.5943E+04 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.2231E+05 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.7762E+04  0.1236E+06  0.1061E+04  0.1236E+06  0.2186E+07  0.7130E-04  0.3180E+05  0.9740E+05
    0.0013    0.0017  0.7552E+04  0.1206E+06  0.1036E+04  0.1206E+06  0.2141E+07  0.6545E-04  0.3101E+05  0.9523E+05
    0.0017    0.0023  0.7316E+04  0.1174E+06  0.1012E+04  0.1174E+06  0.2090E+07  0.5935E-04  0.3015E+05  0.9282E+05
    0.0023    0.0030  0.7051E+04  0.1136E+06  0.9847E+03  0.1136E+06  0.2034E+07  0.5307E-04  0.2918E+05  0.9014E+05
    0.0030    0.0040  0.6760E+04  0.1090E+06  0.9520E+03  0.1090E+06  0.1971E+07  0.4670E-04  0.2813E+05  0.8718E+05
    0.0040    0.0052  0.6450E+04  0.1045E+06  0.9184E+03  0.1045E+06  0.1902E+07  0.4036E-04  0.2697E+05  0.8392E+05
    0.0052    0.0069  0.6119E+04  0.9957E+05  0.8801E+03  0.9957E+05  0.1826E+07  0.3417E-04  0.2571E+05  0.8036E+05
    0.0069    0.0091  0.5766E+04  0.9369E+05  0.8380E+03  0.9369E+05  0.1743E+07  0.2827E-04  0.2435E+05  0.7650E+05
    0.0091    0.0120  0.5394E+04  0.8814E+05  0.7904E+03  0.8814E+05  0.1653E+07  0.2278E-04  0.2289E+05  0.7234E+05
    0.0120    0.0158  0.4996E+04  0.8195E+05  0.7411E+03  0.8195E+05  0.1557E+07  0.1782E-04  0.2134E+05  0.6790E+05
    0.0158    0.0209  0.4584E+04  0.7577E+05  0.6889E+03  0.7577E+05  0.1454E+07  0.1348E-04  0.1972E+05  0.6321E+05
    0.0209    0.0275  0.4159E+04  0.6897E+05  0.6341E+03  0.6897E+05  0.1345E+07  0.9826E-05  0.1804E+05  0.5829E+05
    0.0275    0.0363  0.3728E+04  0.6194E+05  0.5775E+03  0.6194E+05  0.1232E+07  0.6869E-05  0.1632E+05  0.5321E+05
    0.0363    0.0479  0.3297E+04  0.5468E+05  0.5189E+03  0.5468E+05  0.1115E+07  0.4584E-05  0.1457E+05  0.4802E+05
    0.0479    0.0631  0.2884E+04  0.4774E+05  0.4606E+03  0.4774E+05  0.9965E+06  0.2905E-05  0.1284E+05  0.4279E+05
    0.0631    0.0832  0.2477E+04  0.4099E+05  0.4025E+03  0.4099E+05  0.8780E+06  0.1739E-05  0.1115E+05  0.3762E+05
    0.0832    0.1096  0.2094E+04  0.3466E+05  0.3459E+03  0.3466E+05  0.7616E+06  0.9773E-06  0.9524E+04  0.3257E+05
    0.1096    0.1445  0.1735E+04  0.2883E+05  0.2911E+03  0.2883E+05  0.6494E+06  0.5130E-06  0.7996E+04  0.2776E+05
    0.1445    0.1905  0.1413E+04  0.2373E+05  0.2403E+03  0.2373E+05  0.5434E+06  0.2499E-06  0.6588E+04  0.2324E+05
    0.1905    0.2512  0.1122E+04  0.1909E+05  0.1943E+03  0.1909E+05  0.4457E+06  0.1123E-06  0.5322E+04  0.1910E+05
    0.2512    0.3311  0.8742E+03  0.1494E+05  0.1541E+03  0.1494E+05  0.3576E+06  0.4633E-07  0.4210E+04  0.1539E+05
    0.3311    0.4365  0.6637E+03  0.1143E+05  0.1186E+03  0.1143E+05  0.2804E+06  0.1742E-07  0.3258E+04  0.1215E+05
    0.4365    0.5754  0.4924E+03  0.8569E+04  0.8891E+02  0.8569E+04  0.2145E+06  0.4585E-08  0.2465E+04  0.9379E+04
    0.5754    0.7586  0.3566E+03  0.6251E+04  0.6541E+02  0.6251E+04  0.1599E+06  0.1069E-08  0.1821E+04  0.7081E+04
    0.7586    1.0000  0.2513E+03  0.4477E+04  0.4664E+02  0.4477E+04  0.1179E+06  0.2228E-09  0.1314E+04  0.5223E+04
    1.0000    1.3183  0.1721E+03  0.3077E+04  0.3237E+02  0.3077E+04  0.8502E+05  0.4152E-10  0.9253E+03  0.3763E+04
    1.3183    1.7378  0.1152E+03  0.2089E+04  0.2181E+02  0.2089E+04  0.5969E+05  0.6924E-11  0.6360E+03  0.2648E+04
    1.7378    2.2909  0.7543E+02  0.1381E+04  0.1437E+02  0.1381E+04  0.4078E+05  0.1035E-11  0.4267E+03  0.1820E+04
    2.2909    3.0200  0.4801E+02  0.8829E+03  0.9187E+01  0.8829E+03  0.2711E+05  0.1391E-12  0.2797E+03  0.1222E+04
    3.0200    3.9811  0.2966E+02  0.5618E+03  0.5746E+01  0.5618E+03  0.1754E+05  0.1686E-13  0.1791E+03  0.8028E+03
    3.9811    5.2481  0.1795E+02  0.3443E+03  0.3500E+01  0.3443E+03  0.1105E+05  0.1853E-14  0.1122E+03  0.5162E+03
    5.2481    6.9183  0.1061E+02  0.2058E+03  0.2072E+01  0.2058E+03  0.6779E+04  0.1855E-15  0.6886E+02  0.3254E+03
    6.9183    9.1201  0.6129E+01  0.1213E+03  0.1204E+01  0.1213E+03  0.4595E+04  0.1700E-16  0.4142E+02  0.2013E+03
    9.1201   12.0226  0.3463E+01  0.6876E+02  0.6849E+00  0.6876E+02  0.3163E+04  0.1436E-17  0.2446E+02  0.1226E+03
   12.0226   15.8489  0.1926E+01  0.3852E+02  0.3771E+00  0.3852E+02  0.2133E+04  0.1124E-18  0.1420E+02  0.7351E+02
   15.8489   20.8930  0.1047E+01  0.2144E+02  0.2048E+00  0.2144E+02  0.1410E+04  0.8210E-20  0.8119E+01  0.4354E+02
   20.8930   27.5423  0.5620E+00  0.1167E+02  0.1099E+00  0.1167E+02  0.9153E+03  0.5623E-21  0.4577E+01  0.2552E+02
   27.5423   36.3078  0.2951E+00  0.6245E+01  0.5794E-01  0.6245E+01  0.5836E+03  0.3633E-22  0.2548E+01  0.1483E+02
   36.3078   47.8630  0.1534E+00  0.3342E+01  0.3042E-01  0.3342E+01  0.3659E+03  0.2227E-23  0.1403E+01  0.8560E+01
   47.8630   63.0957  0.7849E-01  0.1752E+01  0.1570E-01  0.1752E+01  0.2259E+03  0.1302E-24  0.7652E+00  0.4913E+01
   63.0957   83.1764  0.3969E-01  0.9130E+00  0.8038E-02  0.9130E+00  0.1375E+03  0.7293E-26  0.4139E+00  0.2808E+01
   83.1764  109.6478  0.1980E-01  0.4752E+00  0.4067E-02  0.4752E+00  0.8257E+02  0.3932E-27  0.2223E+00  0.1599E+01
  109.6478  144.5440  0.9760E-02  0.2513E+00  0.2029E-02  0.2513E+00  0.4899E+02  0.1000E-32  0.1187E+00  0.9080E+00
  144.5440  190.5461  0.4758E-02  0.1299E+00  0.1009E-02  0.1299E+00  0.2875E+02  0.1000E-32  0.6311E-01  0.5143E+00
  190.5461  251.1887  0.2285E-02  0.6642E-01  0.4985E-03  0.6642E-01  0.1670E+02  0.1000E-32  0.3342E-01  0.2907E+00
  251.1887  331.1311  0.1091E-02  0.3344E-01  0.2437E-03  0.3344E-01  0.9651E+01  0.1000E-32  0.1765E-01  0.1640E+00
  331.1311  436.5159  0.5177E-03  0.1704E-01  0.1182E-03  0.1704E-01  0.5612E+01  0.1000E-32  0.9301E-02  0.9230E-01
  436.5159  575.4399  0.2459E-03  0.8717E-02  0.5710E-04  0.8717E-02  0.3241E+01  0.1000E-32  0.4894E-02  0.5187E-01
  575.4399  758.5778  0.1164E-03  0.4351E-02  0.2740E-04  0.4351E-02  0.1861E+01  0.1000E-32  0.2573E-02  0.2910E-01
  758.5778 1000.0000  0.5520E-04  0.2170E-02  0.1304E-04  0.2170E-02  0.1062E+01  0.1000E-32  0.1353E-02  0.1630E-01
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.2470E+01  0.3934E+02  0.3378E+00  0.3934E+02  0.6957E+03  0.2269E-07  0.1012E+02  0.3100E+02
    0.0013    0.0017  0.3169E+01  0.5061E+02  0.4347E+00  0.5061E+02  0.8981E+03  0.2746E-07  0.1301E+02  0.3995E+02
    0.0017    0.0023  0.4046E+01  0.6492E+02  0.5599E+00  0.6492E+02  0.1156E+04  0.3282E-07  0.1667E+02  0.5134E+02
