                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1093E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9723E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1617E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9723E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1634E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.7640E+05 (#/cm^2/sec)
 Mean Total Flux       =   0.2555E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5137E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.1087E+10  0.5281E+10  0.2052E+09  0.5281E+10  0.3604E+11  0.8484E+07  0.1713E+10  0.2119E+10
    0.0013    0.0017  0.1026E+10  0.5151E+10  0.1875E+09  0.5151E+10  0.3581E+11  0.7589E+07  0.1655E+10  0.2113E+10
    0.0017    0.0023  0.9513E+09  0.5027E+10  0.1670E+09  0.5027E+10  0.3516E+11  0.6693E+07  0.1580E+10  0.2093E+10
    0.0023    0.0030  0.8626E+09  0.4833E+10  0.1450E+09  0.4833E+10  0.3394E+11  0.5813E+07  0.1485E+10  0.2053E+10
    0.0030    0.0040  0.7591E+09  0.4577E+10  0.1221E+09  0.4577E+10  0.3198E+11  0.4964E+07  0.1368E+10  0.1986E+10
    0.0040    0.0052  0.6410E+09  0.4256E+10  0.9958E+08  0.4256E+10  0.3088E+11  0.4162E+07  0.1229E+10  0.1886E+10
    0.0052    0.0069  0.5233E+09  0.3848E+10  0.7737E+08  0.3848E+10  0.2962E+11  0.3349E+07  0.1071E+10  0.1751E+10
    0.0069    0.0091  0.4085E+09  0.3388E+10  0.5775E+08  0.3388E+10  0.2871E+11  0.2506E+07  0.9010E+09  0.1583E+10
    0.0091    0.0120  0.3062E+09  0.2832E+10  0.4132E+08  0.2832E+10  0.2783E+11  0.1833E+07  0.7274E+09  0.1386E+10
    0.0120    0.0158  0.2162E+09  0.2267E+10  0.2814E+08  0.2267E+10  0.2711E+11  0.1276E+07  0.5611E+09  0.1167E+10
    0.0158    0.0209  0.1428E+09  0.1676E+10  0.1818E+08  0.1676E+10  0.2548E+11  0.8659E+06  0.4130E+09  0.9430E+09
    0.0209    0.0275  0.8983E+08  0.1164E+10  0.1121E+08  0.1164E+10  0.2282E+11  0.5727E+06  0.2902E+09  0.7324E+09
    0.0275    0.0363  0.5397E+08  0.7705E+09  0.6726E+07  0.7705E+09  0.1919E+11  0.3694E+06  0.1949E+09  0.5458E+09
    0.0363    0.0479  0.3088E+08  0.4976E+09  0.3824E+07  0.4976E+09  0.1495E+11  0.2327E+06  0.1252E+09  0.3855E+09
    0.0479    0.0631  0.1694E+08  0.3132E+09  0.2102E+07  0.3132E+09  0.1067E+11  0.1432E+06  0.7698E+08  0.2556E+09
    0.0631    0.0832  0.9035E+07  0.1867E+09  0.1126E+07  0.1867E+09  0.6936E+10  0.8632E+05  0.4536E+08  0.1589E+09
    0.0832    0.1096  0.4682E+07  0.1072E+09  0.5909E+06  0.1072E+09  0.4103E+10  0.5098E+05  0.2572E+08  0.9328E+08
    0.1096    0.1445  0.2354E+07  0.5852E+08  0.3023E+06  0.5852E+08  0.2223E+10  0.2956E+05  0.1409E+08  0.5218E+08
    0.1445    0.1905  0.1166E+07  0.3164E+08  0.1494E+06  0.3164E+08  0.1133E+10  0.1685E+05  0.7495E+07  0.2811E+08
    0.1905    0.2512  0.5761E+06  0.1635E+08  0.7265E+05  0.1635E+08  0.5417E+09  0.1709E+04  0.3888E+07  0.1472E+08
    0.2512    0.3311  0.2796E+06  0.8233E+07  0.3611E+05  0.8233E+07  0.2460E+09  0.1267E+03  0.1975E+07  0.7556E+07
    0.3311    0.4365  0.1353E+06  0.4089E+07  0.1776E+05  0.4089E+07  0.1102E+09  0.8138E+01  0.9860E+06  0.3824E+07
    0.4365    0.5754  0.6480E+05  0.1998E+07  0.8651E+04  0.1998E+07  0.5399E+08  0.4651E+00  0.4855E+06  0.1917E+07
    0.5754    0.7586  0.3077E+05  0.9371E+06  0.4232E+04  0.9371E+06  0.2598E+08  0.2423E-01  0.2364E+06  0.9545E+06
    0.7586    1.0000  0.1466E+05  0.4363E+06  0.2052E+04  0.4363E+06  0.1312E+08  0.1175E-02  0.1141E+06  0.4728E+06
    1.0000    1.3183  0.6967E+04  0.2082E+06  0.9836E+03  0.2082E+06  0.6775E+07  0.5396E-04  0.5474E+05  0.2331E+06
    1.3183    1.7378  0.3296E+04  0.9610E+05  0.4721E+03  0.9610E+05  0.3419E+07  0.2379E-05  0.2613E+05  0.1145E+06
    1.7378    2.2909  0.1551E+04  0.4408E+05  0.2266E+03  0.4408E+05  0.1693E+07  0.1018E-06  0.1243E+05  0.5605E+05
    2.2909    3.0200  0.7248E+03  0.2014E+05  0.1085E+03  0.2014E+05  0.8254E+06  0.4263E-08  0.5898E+04  0.2737E+05
    3.0200    3.9811  0.3414E+03  0.9160E+04  0.5179E+02  0.9160E+04  0.4163E+06  0.1757E-09  0.2797E+04  0.1335E+05
    3.9811    5.2481  0.1602E+03  0.4164E+04  0.2453E+02  0.4164E+04  0.2186E+06  0.7168E-11  0.1326E+04  0.6510E+04
    5.2481    6.9183  0.7526E+02  0.1898E+04  0.1165E+02  0.1898E+04  0.1149E+06  0.2902E-12  0.6295E+03  0.3178E+04
    6.9183    9.1201  0.3511E+02  0.8683E+03  0.5519E+01  0.8683E+03  0.6050E+05  0.1170E-13  0.2992E+03  0.1555E+04
    9.1201   12.0226  0.1639E+02  0.3970E+03  0.2622E+01  0.3970E+03  0.3190E+05  0.4699E-15  0.1425E+03  0.7640E+03
   12.0226   15.8489  0.7610E+01  0.1818E+03  0.1247E+01  0.1818E+03  0.1685E+05  0.1885E-16  0.6808E+02  0.3771E+03
   15.8489   20.8930  0.3540E+01  0.8510E+02  0.5932E+00  0.8510E+02  0.8911E+04  0.7555E-18  0.3262E+02  0.1872E+03
