                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Positive Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1039E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9902E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1328E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9902E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.9674E+09 (#/cm^2/sec)
 Minimum Total Flux    =   0.3963E+05 (#/cm^2/sec)
 Mean Total Flux       =   0.2481E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.4239E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.9997E+09  0.4475E+10  0.1912E+09  0.4475E+10  0.2339E+11  0.6950E+07  0.1492E+10  0.1581E+10
    0.0013    0.0017  0.9378E+09  0.4264E+10  0.1721E+09  0.4264E+10  0.2382E+11  0.5821E+07  0.1420E+10  0.1527E+10
    0.0017    0.0023  0.8674E+09  0.4062E+10  0.1517E+09  0.4062E+10  0.2412E+11  0.4783E+07  0.1335E+10  0.1464E+10
    0.0023    0.0030  0.7849E+09  0.3802E+10  0.1296E+09  0.3802E+10  0.2423E+11  0.3850E+07  0.1236E+10  0.1390E+10
    0.0030    0.0040  0.6857E+09  0.3496E+10  0.1073E+09  0.3496E+10  0.2401E+11  0.3033E+07  0.1125E+10  0.1304E+10
    0.0040    0.0052  0.5809E+09  0.3193E+10  0.8489E+08  0.3193E+10  0.2333E+11  0.2337E+07  0.1002E+10  0.1208E+10
    0.0052    0.0069  0.4785E+09  0.2890E+10  0.6438E+08  0.2890E+10  0.2207E+11  0.1759E+07  0.8719E+09  0.1102E+10
    0.0069    0.0091  0.3812E+09  0.2553E+10  0.4686E+08  0.2553E+10  0.2066E+11  0.1293E+07  0.7385E+09  0.9885E+09
    0.0091    0.0120  0.2890E+09  0.2185E+10  0.3272E+08  0.2185E+10  0.1908E+11  0.9280E+06  0.6074E+09  0.8704E+09
    0.0120    0.0158  0.2079E+09  0.1911E+10  0.2203E+08  0.1911E+10  0.1785E+11  0.6503E+06  0.4841E+09  0.7496E+09
