                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Negative Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.5827E+07 (#/cm^2/sec)
 95% Total Flux        =   0.6566E+08 (#/cm^2/sec)
  5% Total Flux        =   0.2474E+06 (#/cm^2/sec)
  95% Total Flux       =   0.6566E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.7018E+09 (#/cm^2/sec)
 Minimum Total Flux    =   0.5350E+03 (#/cm^2/sec)
 Mean Total Flux       =   0.1717E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.3266E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.9608E+09  0.7603E+10  0.5073E+08  0.7603E+10  0.5317E+11  0.1073E+06  0.2096E+10  0.2980E+10
    0.0013    0.0017  0.8348E+09  0.6863E+10  0.4204E+08  0.6863E+10  0.5307E+11  0.8998E+05  0.1923E+10  0.2843E+10
    0.0017    0.0023  0.7068E+09  0.6138E+10  0.3387E+08  0.6138E+10  0.4433E+11  0.7391E+05  0.1732E+10  0.2681E+10
    0.0023    0.0030  0.5824E+09  0.5486E+10  0.2641E+08  0.5486E+10  0.4898E+11  0.5935E+05  0.1523E+10  0.2489E+10
    0.0030    0.0040  0.4731E+09  0.4854E+10  0.2017E+08  0.4854E+10  0.9792E+11  0.4651E+05  0.1300E+10  0.2275E+10
    0.0040    0.0052  0.3707E+09  0.4081E+10  0.1504E+08  0.4081E+10  0.4327E+11  0.3551E+05  0.1072E+10  0.1984E+10
    0.0052    0.0069  0.2730E+09  0.3289E+10  0.1085E+08  0.3289E+10  0.4133E+11  0.2637E+05  0.8492E+09  0.1670E+10
    0.0069    0.0091  0.1917E+09  0.2638E+10  0.7575E+07  0.2638E+10  0.4049E+11  0.1902E+05  0.6467E+09  0.1351E+10
    0.0091    0.0120  0.1288E+09  0.2002E+10  0.5124E+07  0.2002E+10  0.3504E+11  0.1330E+05  0.4762E+09  0.1062E+10
    0.0120    0.0158  0.8280E+08  0.1390E+10  0.3355E+07  0.1390E+10  0.2542E+11  0.9017E+04  0.3427E+09  0.8377E+09
    0.0158    0.0209  0.5186E+08  0.8925E+09  0.2115E+07  0.8925E+09  0.1640E+11  0.5916E+04  0.2420E+09  0.6856E+09
    0.0209    0.0275  0.3144E+08  0.5374E+09  0.1290E+07  0.5374E+09  0.1287E+11  0.3748E+04  0.1623E+09  0.5263E+09
    0.0275    0.0363  0.1839E+08  0.3190E+09  0.7576E+06  0.3190E+09  0.9216E+10  0.2117E+04  0.1010E+09  0.3607E+09
    0.0363    0.0479  0.1019E+08  0.1975E+09  0.4256E+06  0.1975E+09  0.7790E+10  0.1152E+04  0.5824E+08  0.2189E+09
    0.0479    0.0631  0.5563E+07  0.1128E+09  0.2287E+06  0.1128E+09  0.5771E+10  0.6044E+03  0.3175E+08  0.1238E+09
    0.0631    0.0832  0.2978E+07  0.6153E+08  0.1180E+06  0.6153E+08  0.3671E+10  0.3060E+03  0.1687E+08  0.7039E+08
    0.0832    0.1096  0.1561E+07  0.3153E+08  0.5785E+05  0.3153E+08  0.2569E+10  0.1221E+03  0.8941E+07  0.4174E+08
    0.1096    0.1445  0.8057E+06  0.1593E+08  0.2772E+05  0.1593E+08  0.1671E+10  0.3910E+02  0.4770E+07  0.2513E+08
    0.1445    0.1905  0.4061E+06  0.8022E+07  0.1273E+05  0.8022E+07  0.9858E+09  0.1228E+02  0.2561E+07  0.1474E+08
    0.1905    0.2512  0.2027E+06  0.4046E+07  0.5719E+04  0.4046E+07  0.5275E+09  0.3790E+01  0.1379E+07  0.8324E+07
    0.2512    0.3311  0.1004E+06  0.2036E+07  0.2484E+04  0.2036E+07  0.2945E+09  0.1153E+01  0.7434E+06  0.4628E+07
    0.3311    0.4365  0.4925E+05  0.1023E+07  0.1067E+04  0.1023E+07  0.2004E+09  0.3459E+00  0.4006E+06  0.2592E+07
    0.4365    0.5754  0.2388E+05  0.5208E+06  0.4490E+03  0.5208E+06  0.1291E+09  0.1026E+00  0.2154E+06  0.1466E+07
    0.5754    0.7586  0.1152E+05  0.2732E+06  0.1841E+03  0.2732E+06  0.7876E+08  0.3015E-01  0.1153E+06  0.8262E+06
