                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Negative Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1082E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9563E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1531E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9563E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1889E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1147E+06 (#/cm^2/sec)
 Mean Total Flux       =   0.2566E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5006E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.1087E+10  0.4806E+10  0.2129E+09  0.4806E+10  0.3590E+11  0.6920E+07  0.1623E+10  0.1904E+10
    0.0013    0.0017  0.1020E+10  0.4620E+10  0.1924E+09  0.4620E+10  0.3542E+11  0.6440E+07  0.1551E+10  0.1857E+10
    0.0017    0.0023  0.9295E+09  0.4466E+10  0.1695E+09  0.4466E+10  0.3451E+11  0.5937E+07  0.1464E+10  0.1795E+10
    0.0023    0.0030  0.8361E+09  0.4214E+10  0.1447E+09  0.4214E+10  0.3301E+11  0.5417E+07  0.1361E+10  0.1716E+10
    0.0030    0.0040  0.7356E+09  0.3926E+10  0.1212E+09  0.3926E+10  0.3080E+11  0.4885E+07  0.1241E+10  0.1619E+10
    0.0040    0.0052  0.6272E+09  0.3616E+10  0.9682E+08  0.3616E+10  0.2910E+11  0.4350E+07  0.1106E+10  0.1502E+10
    0.0052    0.0069  0.5142E+09  0.3267E+10  0.7411E+08  0.3267E+10  0.2654E+11  0.3821E+07  0.9602E+09  0.1369E+10
    0.0069    0.0091  0.4037E+09  0.2859E+10  0.5455E+08  0.2859E+10  0.2497E+11  0.3305E+07  0.8088E+09  0.1223E+10
    0.0091    0.0120  0.3038E+09  0.2440E+10  0.3831E+08  0.2440E+10  0.2416E+11  0.2813E+07  0.6587E+09  0.1069E+10
    0.0120    0.0158  0.2187E+09  0.1988E+10  0.2545E+08  0.1988E+10  0.2486E+11  0.2042E+07  0.5176E+09  0.9140E+09
    0.0158    0.0209  0.1485E+09  0.1578E+10  0.1619E+08  0.1578E+10  0.2773E+11  0.1436E+07  0.3917E+09  0.7679E+09
    0.0209    0.0275  0.9536E+08  0.1205E+10  0.9894E+07  0.1205E+10  0.2913E+11  0.9827E+06  0.2857E+09  0.6367E+09
    0.0275    0.0363  0.5742E+08  0.8900E+09  0.5839E+07  0.8900E+09  0.2776E+11  0.6541E+06  0.2009E+09  0.5189E+09
    0.0363    0.0479  0.3307E+08  0.6158E+09  0.3339E+07  0.6158E+09  0.2310E+11  0.4238E+06  0.1364E+09  0.4078E+09
    0.0479    0.0631  0.1828E+08  0.3977E+09  0.1842E+07  0.3977E+09  0.1635E+11  0.2601E+06  0.8934E+08  0.3036E+09
    0.0631    0.0832  0.9739E+07  0.2449E+09  0.9926E+06  0.2449E+09  0.9813E+10  0.1454E+06  0.5641E+08  0.2143E+09
    0.0832    0.1096  0.4983E+07  0.1417E+09  0.5250E+06  0.1417E+09  0.5714E+10  0.8008E+05  0.3423E+08  0.1453E+09
    0.1096    0.1445  0.2520E+07  0.7746E+08  0.2699E+06  0.7746E+08  0.3970E+10  0.4355E+05  0.1989E+08  0.9386E+08
    0.1445    0.1905  0.1247E+07  0.4092E+08  0.1342E+06  0.4092E+08  0.2327E+10  0.1407E+05  0.1103E+08  0.5641E+08
    0.1905    0.2512  0.6059E+06  0.2060E+08  0.6723E+05  0.2060E+08  0.1187E+10  0.1263E+04  0.5843E+07  0.3141E+08
    0.2512    0.3311  0.2914E+06  0.1020E+08  0.3347E+05  0.1020E+08  0.6200E+09  0.9578E+02  0.2978E+07  0.1653E+08
    0.3311    0.4365  0.1391E+06  0.4907E+07  0.1660E+05  0.4907E+07  0.3531E+09  0.6301E+01  0.1471E+07  0.8362E+07
    0.4365    0.5754  0.6608E+05  0.2344E+07  0.8188E+04  0.2344E+07  0.1832E+09  0.3690E+00  0.7090E+06  0.4094E+07
    0.5754    0.7586  0.3125E+05  0.1090E+07  0.4026E+04  0.1090E+07  0.8825E+08  0.1969E-01  0.3357E+06  0.1952E+07
    0.7586    1.0000  0.1469E+05  0.5016E+06  0.1966E+04  0.5016E+06  0.4030E+08  0.9769E-03  0.1570E+06  0.9120E+06
    1.0000    1.3183  0.6931E+04  0.2299E+06  0.9543E+03  0.2299E+06  0.1775E+08  0.4583E-04  0.7285E+05  0.4206E+06
    1.3183    1.7378  0.3262E+04  0.1059E+06  0.4618E+03  0.1059E+06  0.7649E+07  0.2060E-05  0.3365E+05  0.1927E+06
