                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.2687E+08 (#/cm^2/sec)
 95% Total Flux        =   0.1403E+09 (#/cm^2/sec)
  5% Total Flux        =   0.1405E+07 (#/cm^2/sec)
  95% Total Flux       =   0.1403E+09 (#/cm^2/sec)
 Maximum Total Flux    =   0.1482E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.3614E+04 (#/cm^2/sec)
 Mean Total Flux       =   0.4351E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5651E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.2415E+10  0.1046E+11  0.1992E+09  0.1046E+11  0.5854E+11  0.6279E+06  0.3427E+10  0.3714E+10
    0.0013    0.0017  0.2374E+10  0.1072E+11  0.1836E+09  0.1072E+11  0.6859E+11  0.5593E+06  0.3429E+10  0.3803E+10
    0.0017    0.0023  0.2288E+10  0.1093E+11  0.1645E+09  0.1093E+11  0.6291E+11  0.4631E+06  0.3387E+10  0.3850E+10
    0.0023    0.0030  0.2133E+10  0.1083E+11  0.1398E+09  0.1083E+11  0.5474E+11  0.3753E+06  0.3278E+10  0.3845E+10
    0.0030    0.0040  0.1920E+10  0.1026E+11  0.1125E+09  0.1026E+11  0.4932E+11  0.2971E+06  0.3081E+10  0.3793E+10
    0.0040    0.0052  0.1667E+10  0.9229E+10  0.8594E+08  0.9229E+10  0.5119E+11  0.2295E+06  0.2779E+10  0.3657E+10
    0.0052    0.0069  0.1362E+10  0.8101E+10  0.6134E+08  0.8101E+10  0.6356E+11  0.1726E+06  0.2375E+10  0.3350E+10
    0.0069    0.0091  0.1030E+10  0.6708E+10  0.4145E+08  0.6708E+10  0.4847E+11  0.1263E+06  0.1908E+10  0.2858E+10
    0.0091    0.0120  0.7127E+09  0.5142E+10  0.2666E+08  0.5142E+10  0.3863E+11  0.8984E+05  0.1441E+10  0.2294E+10
    0.0120    0.0158  0.4504E+09  0.3961E+10  0.1639E+08  0.3961E+10  0.3752E+11  0.6203E+05  0.1025E+10  0.1762E+10
    0.0158    0.0209  0.2536E+09  0.2988E+10  0.9453E+07  0.2988E+10  0.2840E+11  0.4156E+05  0.6860E+09  0.1279E+10
    0.0209    0.0275  0.1355E+09  0.2055E+10  0.5252E+07  0.2055E+10  0.2353E+11  0.2240E+05  0.4307E+09  0.8834E+09
    0.0275    0.0363  0.6837E+08  0.1294E+10  0.2825E+07  0.1294E+10  0.2383E+11  0.1150E+05  0.2554E+09  0.5885E+09
    0.0363    0.0479  0.3293E+08  0.7466E+09  0.1472E+07  0.7466E+09  0.1926E+11  0.5659E+04  0.1450E+09  0.3858E+09
    0.0479    0.0631  0.1510E+08  0.3998E+09  0.7324E+06  0.3998E+09  0.1176E+11  0.2676E+04  0.7889E+08  0.2450E+09
    0.0631    0.0832  0.6857E+07  0.2130E+09  0.3493E+06  0.2130E+09  0.1138E+11  0.1203E+04  0.4117E+08  0.1480E+09
    0.0832    0.1096  0.3143E+07  0.9974E+08  0.1591E+06  0.9974E+08  0.5433E+10  0.3834E+03  0.2087E+08  0.8316E+08
    0.1096    0.1445  0.1464E+07  0.4519E+08  0.6908E+05  0.4519E+08  0.4248E+10  0.1212E+03  0.1049E+08  0.4763E+08
    0.1445    0.1905  0.6867E+06  0.2067E+08  0.2898E+05  0.2067E+08  0.3452E+10  0.3805E+02  0.5318E+07  0.2984E+08
    0.1905    0.2512  0.3231E+06  0.9284E+07  0.1192E+05  0.9284E+07  0.2576E+10  0.1189E+02  0.2737E+07  0.1981E+08
    0.2512    0.3311  0.1518E+06  0.4127E+07  0.4810E+04  0.4127E+07  0.1744E+10  0.3700E+01  0.1429E+07  0.1305E+08
    0.3311    0.4365  0.7140E+05  0.1870E+07  0.1919E+04  0.1870E+07  0.1065E+10  0.1129E+01  0.7509E+06  0.8188E+07
    0.4365    0.5754  0.3327E+05  0.9014E+06  0.7516E+03  0.9014E+06  0.6219E+09  0.2878E+00  0.3932E+06  0.4838E+07
    0.5754    0.7586  0.1553E+05  0.4324E+06  0.2878E+03  0.4324E+06  0.3454E+09  0.7405E-01  0.2040E+06  0.2706E+07
    0.7586    1.0000  0.7215E+04  0.2159E+06  0.1106E+03  0.2159E+06  0.1792E+09  0.1921E-01  0.1046E+06  0.1450E+07
    1.0000    1.3183  0.3337E+04  0.1096E+06  0.4196E+02  0.1096E+06  0.8827E+08  0.5019E-02  0.5305E+05  0.7521E+06
    1.3183    1.7378  0.1539E+04  0.5669E+05  0.1577E+02  0.5669E+05  0.4922E+08  0.1320E-02  0.2675E+05  0.3799E+06
    1.7378    2.2909  0.7063E+03  0.2972E+05  0.5912E+01  0.2972E+05  0.2524E+08  0.3488E-03  0.1346E+05  0.1874E+06
    2.2909    3.0200  0.3248E+03  0.1575E+05  0.2212E+01  0.1575E+05  0.1204E+08  0.9267E-04  0.6801E+04  0.9086E+05
    3.0200    3.9811  0.1489E+03  0.8544E+04  0.8282E+00  0.8544E+04  0.5406E+07  0.2472E-04  0.3463E+04  0.4369E+05
    3.9811    5.2481  0.6801E+02  0.4709E+04  0.3075E+00  0.4709E+04  0.2316E+07  0.6619E-05  0.1783E+04  0.2110E+05
    5.2481    6.9183  0.3109E+02  0.2574E+04  0.1133E+00  0.2574E+04  0.9765E+06  0.1778E-05  0.9309E+03  0.1035E+05
    6.9183    9.1201  0.1421E+02  0.1433E+04  0.4212E-01  0.1433E+04  0.4541E+06  0.4789E-06  0.4931E+03  0.5197E+04
    9.1201   12.0226  0.6513E+01  0.8016E+03  0.1553E-01  0.8016E+03  0.2447E+06  0.1293E-06  0.2651E+03  0.2683E+04
   12.0226   15.8489  0.2979E+01  0.4523E+03  0.5735E-02  0.4523E+03  0.1324E+06  0.3499E-07  0.1446E+03  0.1424E+04
   15.8489   20.8930  0.1360E+01  0.2578E+03  0.2104E-02  0.2578E+03  0.7375E+05  0.9487E-08  0.7993E+02  0.7752E+03
   20.8930   27.5423  0.6226E+00  0.1465E+03  0.7758E-03  0.1465E+03  0.4426E+05  0.2576E-08  0.4473E+02  0.4311E+03
   27.5423   36.3078  0.2846E+00  0.8390E+02  0.2833E-03  0.8390E+02  0.2682E+05  0.7006E-09  0.2532E+02  0.2441E+03
   36.3078   47.8630  0.1299E+00  0.4830E+02  0.1031E-03  0.4830E+02  0.1630E+05  0.1908E-09  0.1448E+02  0.1404E+03
   47.8630   63.0957  0.5927E-01  0.2781E+02  0.3738E-04  0.2781E+02  0.9927E+04  0.5200E-10  0.8358E+01  0.8173E+02
