                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1005E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9099E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1586E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9099E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1226E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1005E+06 (#/cm^2/sec)
 Mean Total Flux       =   0.2449E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.4789E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.1033E+10  0.4945E+10  0.2136E+09  0.4945E+10  0.2890E+11  0.8950E+07  0.1603E+10  0.1855E+10
    0.0013    0.0017  0.9671E+09  0.4745E+10  0.1944E+09  0.4745E+10  0.2776E+11  0.8029E+07  0.1528E+10  0.1809E+10
    0.0017    0.0023  0.8915E+09  0.4502E+10  0.1736E+09  0.4502E+10  0.2790E+11  0.7099E+07  0.1438E+10  0.1752E+10
    0.0023    0.0030  0.8002E+09  0.4234E+10  0.1498E+09  0.4234E+10  0.2792E+11  0.6176E+07  0.1332E+10  0.1683E+10
    0.0030    0.0040  0.7008E+09  0.3913E+10  0.1245E+09  0.3913E+10  0.2870E+11  0.5279E+07  0.1211E+10  0.1600E+10
    0.0040    0.0052  0.5903E+09  0.3574E+10  0.9939E+08  0.3574E+10  0.2920E+11  0.4425E+07  0.1076E+10  0.1502E+10
    0.0052    0.0069  0.4752E+09  0.3184E+10  0.7622E+08  0.3184E+10  0.2903E+11  0.3633E+07  0.9326E+09  0.1388E+10
    0.0069    0.0091  0.3684E+09  0.2759E+10  0.5627E+08  0.2759E+10  0.2792E+11  0.2917E+07  0.7851E+09  0.1261E+10
    0.0091    0.0120  0.2751E+09  0.2345E+10  0.3929E+08  0.2345E+10  0.2560E+11  0.2287E+07  0.6402E+09  0.1122E+10
    0.0120    0.0158  0.1945E+09  0.1917E+10  0.2647E+08  0.1917E+10  0.2296E+11  0.1750E+07  0.5044E+09  0.9723E+09
    0.0158    0.0209  0.1306E+09  0.1513E+10  0.1690E+08  0.1513E+10  0.1950E+11  0.1305E+07  0.3831E+09  0.8172E+09
    0.0209    0.0275  0.8386E+08  0.1134E+10  0.1035E+08  0.1134E+10  0.1546E+11  0.9480E+06  0.2799E+09  0.6643E+09
    0.0275    0.0363  0.5072E+08  0.8318E+09  0.6125E+07  0.8318E+09  0.1580E+11  0.6711E+06  0.1964E+09  0.5228E+09
    0.0363    0.0479  0.2942E+08  0.5722E+09  0.3490E+07  0.5722E+09  0.1542E+11  0.4630E+06  0.1321E+09  0.3981E+09
