====== H (10) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 4220 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =012753.63
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  1681.41E-03  3104.06E-08
300000.E-01  1683.12E-03  6357.61E-08
450000.E-01  1687.73E-03  1210.35E-06
600000.E-01  1701.31E-03  1520.47E-06
750000.E-01  1708.83E-03  7469.31E-08
900000.E-01  1713.95E-03  1920.20E-06
105000.E+00  1724.10E-03  3784.58E-06
120000.E+00  1736.08E-03  1191.29E-07
135000.E+00  1744.09E-03  1050.38E-07
150000.E+00  1751.49E-03  8803.91E-08
165000.E+00  1760.82E-03  1224.86E-07
180000.E+00  1769.99E-03  1597.39E-07
195000.E+00  1779.29E-03  4583.47E-07
210000.E+00  1788.05E-03  5758.95E-07
225000.E+00  1797.22E-03  2791.11E-06
240000.E+00  1806.59E-03  1469.12E-07
255000.E+00  1818.83E-03  3266.39E-06
270000.E+00  1828.68E-03  9975.76E-07
285000.E+00  1838.01E-03  5304.67E-07
300000.E+00  1847.87E-03  5872.21E-07
315000.E+00  1860.40E-03  2871.74E-07
330000.E+00  1871.46E-03  3000.05E-07
345000.E+00  1881.82E-03  1548.36E-07
360000.E+00  1891.72E-03  1137.19E-07
375000.E+00  1902.47E-03  1313.32E-07
390000.E+00  1915.51E-03  1127.79E-07
405000.E+00  1927.33E-03  1198.81E-07
420000.E+00  1939.37E-03  3429.40E-07
435000.E+00  1951.21E-03  1740.58E-07
450000.E+00  1964.30E-03  9325.83E-08
465000.E+00  1981.14E-03  1942.80E-07
480000.E+00  1992.83E-03  1379.51E-07
495000.E+00  2006.07E-03  5432.89E-07
510000.E+00  2018.92E-03  4688.80E-07
525000.E+00  2033.14E-03  3333.06E-07
540000.E+00  2045.22E-03  1736.54E-07
555000.E+00  2062.83E-03  2857.91E-07
570000.E+00  2079.30E-03  1861.94E-07
585000.E+00  2095.17E-03  2855.84E-07
600000.E+00  2113.14E-03  6133.90E-07
615000.E+00  2127.74E-03  6054.10E-07
630000.E+00  2143.05E-03  1453.20E-07
645000.E+00  2159.11E-03  3268.67E-07
660000.E+00  2179.24E-03  5395.54E-07
675000.E+00  2197.94E-03  2464.38E-07
690000.E+00  2217.39E-03  1088.95E-07
705000.E+00  2237.91E-03  2772.41E-07
720000.E+00  2257.00E-03  1205.54E-06
735000.E+00  2276.59E-03  2100.08E-07
750000.E+00  2299.69E-03  5201.80E-07
765000.E+00  2320.24E-03  3007.47E-07
780000.E+00  2339.47E-03  3262.08E-07
795000.E+00  2366.68E-03  3941.49E-07
810000.E+00  2388.28E-03  2760.95E-07
825000.E+00  2414.61E-03  3410.05E-07
840000.E+00  2437.08E-03  3945.38E-07
855000.E+00  2466.95E-03  2104.87E-07
870000.E+00  2493.12E-03  1794.85E-07
885000.E+00  2522.15E-03  2414.14E-07
900000.E+00  2551.61E-03  5350.83E-07
915000.E+00  2582.57E-03  2487.74E-07
930000.E+00  2609.72E-03  2685.13E-07
945000.E+00  2646.80E-03  2123.90E-07
960000.E+00  2681.78E-03  1762.27E-07
975000.E+00  2717.88E-03  1917.23E-07
990000.E+00  2758.91E-03  3258.24E-07
100500.E+01  2793.49E-03  4066.90E-07
102000.E+01  2832.69E-03  2052.45E-07
103500.E+01  2877.78E-03  9192.37E-07
105000.E+01  2923.59E-03  2971.17E-07
106500.E+01  2972.44E-03  2047.29E-06
108000.E+01  3023.69E-03  2940.30E-07
109500.E+01  3076.51E-03  4592.38E-07
111000.E+01  3132.81E-03  6668.64E-07
112500.E+01  3196.05E-03  1019.86E-06
114000.E+01  3257.70E-03  6455.60E-07
115500.E+01  3323.48E-03  5024.25E-07
117000.E+01  3394.33E-03  8241.63E-07
118500.E+01  3470.35E-03  1736.72E-06
120000.E+01  3557.17E-03  3058.22E-06
121500.E+01  3646.00E-03  7306.99E-07
123000.E+01  3740.43E-03  5042.52E-07
124500.E+01  3847.40E-03  8048.74E-07
126000.E+01  3963.52E-03  6945.75E-07
127500.E+01  4099.32E-03  5691.36E-07
129000.E+01  4240.82E-03  8861.15E-07
130500.E+01  4396.48E-03  7043.49E-07
132000.E+01  4569.09E-03  2230.27E-06
133500.E+01  4754.58E-03  7805.08E-07
135000.E+01  4995.58E-03  1567.54E-06
136500.E+01  5278.94E-03  2429.59E-06
138000.E+01  5664.47E-03  3000.43E-06
139500.E+01  6108.27E-03  3815.22E-06
141000.E+01  6583.94E-03  2806.80E-06
142500.E+01  6971.67E-03  2593.28E-06
144000.E+01  7007.64E-03  4233.14E-06
145500.E+01  6435.13E-03  4812.46E-06
147000.E+01  5285.96E-03  3671.05E-06
148500.E+01  3787.81E-03  2877.36E-06
150000.E+01  2347.64E-03  1929.77E-06
