====== H (10) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 4220 keV
============= TARGET MATERIAL ======================================
Layer 1 : Kapton
Layer Width = 15000.E+02 A ;
  Layer # 1- Density = 8.722E22 atoms/cm3 = 1.42 g/cm3
  Layer # 1-  H = 25.6 Atomic Percent = 2.63 Mass Percent
  Layer # 1-  C = 56.4 Atomic Percent = 69.1 Mass Percent
  Layer # 1-  N = 5.12 Atomic Percent = 7.32 Mass Percent
  Layer # 1-  O = 12.8 Atomic Percent = 20.9 Mass Percent
====================================================================
 Total Ions calculated =041482.37
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
150000.E-01  1190.02E-03  8112.36E-09
300000.E-01  1191.23E-03  1630.66E-08
450000.E-01  1192.13E-03  5797.87E-08
600000.E-01  1194.66E-03  1235.45E-07
750000.E-01  1199.07E-03  1597.81E-07
900000.E-01  1204.32E-03  1027.89E-07
105000.E+00  1207.81E-03  8509.53E-08
120000.E+00  1211.45E-03  9307.74E-08
135000.E+00  1215.28E-03  2037.43E-07
150000.E+00  1220.15E-03  3617.63E-07
165000.E+00  1225.47E-03  1238.67E-07
180000.E+00  1229.26E-03  2278.25E-07
195000.E+00  1233.16E-03  1015.94E-07
210000.E+00  1238.07E-03  5679.17E-07
225000.E+00  1242.17E-03  1192.60E-07
240000.E+00  1246.75E-03  9862.32E-08
255000.E+00  1251.39E-03  1124.05E-07
270000.E+00  1255.35E-03  7451.81E-08
285000.E+00  1260.61E-03  1299.84E-07
300000.E+00  1265.44E-03  2353.77E-07
315000.E+00  1270.80E-03  2281.23E-07
330000.E+00  1276.00E-03  2777.33E-07
345000.E+00  1280.53E-03  4019.12E-07
360000.E+00  1285.72E-03  2123.15E-07
375000.E+00  1291.22E-03  5289.42E-07
390000.E+00  1296.44E-03  1777.98E-07
405000.E+00  1301.47E-03  2539.54E-07
420000.E+00  1306.76E-03  6237.77E-08
435000.E+00  1311.67E-03  2526.05E-07
450000.E+00  1317.77E-03  1698.05E-07
465000.E+00  1323.38E-03  1106.84E-07
480000.E+00  1328.87E-03  1858.06E-07
495000.E+00  1334.35E-03  1172.05E-07
510000.E+00  1339.46E-03  1146.55E-07
525000.E+00  1344.39E-03  1043.69E-07
540000.E+00  1350.63E-03  1362.64E-07
555000.E+00  1356.52E-03  1939.44E-07
570000.E+00  1362.87E-03  9699.54E-07
585000.E+00  1368.58E-03  1988.36E-07
600000.E+00  1374.82E-03  1028.16E-07
615000.E+00  1380.23E-03  1160.97E-07
630000.E+00  1386.70E-03  9886.83E-08
645000.E+00  1393.94E-03  1400.60E-07
660000.E+00  1400.74E-03  1722.46E-07
675000.E+00  1405.99E-03  3102.11E-07
690000.E+00  1413.52E-03  1422.06E-07
705000.E+00  1419.80E-03  1382.10E-07
720000.E+00  1427.38E-03  2168.44E-07
735000.E+00  1434.35E-03  1509.09E-07
750000.E+00  1442.52E-03  3172.68E-07
765000.E+00  1450.27E-03  1059.08E-07
780000.E+00  1456.89E-03  2436.60E-07
795000.E+00  1465.09E-03  2144.93E-07
810000.E+00  1473.03E-03  2581.51E-07
825000.E+00  1479.62E-03  1353.48E-07
840000.E+00  1487.93E-03  1047.02E-07
855000.E+00  1495.60E-03  1206.71E-07
870000.E+00  1503.58E-03  1876.54E-07
885000.E+00  1511.63E-03  1110.04E-06
900000.E+00  1519.24E-03  7036.34E-07
915000.E+00  1528.86E-03  6257.78E-07
930000.E+00  1539.14E-03  3372.33E-07
945000.E+00  1548.63E-03  5045.00E-07
960000.E+00  1558.88E-03  6628.80E-07
975000.E+00  1567.15E-03  2932.97E-07
990000.E+00  1577.59E-03  1763.86E-07
100500.E+01  1587.49E-03  1559.78E-07
102000.E+01  1596.31E-03  2863.15E-07
103500.E+01  1605.70E-03  7638.28E-07
105000.E+01  1618.18E-03  9607.69E-07
106500.E+01  1630.01E-03  2913.05E-07
108000.E+01  1637.25E-03  2188.34E-07
109500.E+01  1648.07E-03  2490.71E-07
111000.E+01  1660.73E-03  2767.35E-07
112500.E+01  1672.81E-03  3516.59E-07
114000.E+01  1683.48E-03  1210.29E-06
115500.E+01  1695.43E-03  1719.31E-07
117000.E+01  1708.57E-03  1501.08E-07
118500.E+01  1721.01E-03  2928.57E-07
120000.E+01  1733.32E-03  4651.55E-07
121500.E+01  1746.85E-03  6395.14E-07
123000.E+01  1763.03E-03  5509.60E-07
124500.E+01  1775.54E-03  4620.72E-07
126000.E+01  1789.20E-03  1698.97E-07
127500.E+01  1803.83E-03  7056.70E-07
129000.E+01  1820.30E-03  1983.01E-07
130500.E+01  1836.60E-03  1951.79E-07
132000.E+01  1851.88E-03  2495.60E-07
133500.E+01  1869.70E-03  2362.62E-07
135000.E+01  1885.67E-03  2618.89E-07
136500.E+01  1903.26E-03  4548.75E-07
138000.E+01  1919.80E-03  3199.64E-07
139500.E+01  1938.82E-03  3950.18E-07
141000.E+01  1958.86E-03  1952.54E-07
142500.E+01  1977.97E-03  2411.02E-07
144000.E+01  1999.09E-03  1416.87E-07
145500.E+01  2020.50E-03  4581.72E-07
147000.E+01  2041.38E-03  6675.75E-07
148500.E+01  2069.21E-03  9372.37E-07
150000.E+01  2101.51E-03  9698.68E-07
