Energy (MeV)	Integral Fluence (#/cm^2)	Differential Fluence (#/cm^2/MeV)
1.000E-06	8.770E+11	4.009E+15
1.800E-06	8.747E+11	3.026E+15
3.200E-06	8.707E+11	2.906E+15
5.600E-06	8.642E+11	2.679E+15
1.000E-05	8.536E+11	2.358E+15
1.780E-05	8.370E+11	2.045E+15
3.160E-05	8.119E+11	1.700E+15
5.620E-05	7.757E+11	1.341E+15
1.000E-04	7.259E+11	1.007E+15
1.778E-04	6.612E+11	7.060E+14
3.162E-04	5.834E+11	4.630E+14
5.623E-04	4.953E+11	2.819E+14
1.000E-03	4.036E+11	1.589E+14
1.778E-03	3.147E+11	8.310E+13
3.162E-03	2.350E+11	4.026E+13
5.623E-03	1.687E+11	1.824E+13
1.000E-02	1.167E+11	7.840E+12
1.778E-02	7.785E+10	3.174E+12
3.162E-02	5.065E+10	1.230E+12
5.623E-02	3.217E+10	4.603E+11
1.000E-01	2.006E+10	1.682E+11
1.778E-01	1.225E+10	6.027E+10
3.162E-01	7.323E+09	2.114E+10
5.623E-01	4.280E+09	7.292E+09
1.000E+00	2.430E+09	2.490E+09
1.778E+00	1.316E+09	8.567E+08
3.162E+00	6.410E+08	3.005E+08
5.623E+00	2.388E+08	7.284E+07
